,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.65,0.68,1.12,0.93,0.97,0.86,0.46,0.44,0.36,0.44,0.38,0.42,0.3,0.34,0.39,0.32
f_1,1.12,0.64,0.97,0.96,0.82,0.82,0.36,0.37,0.33,0.49,0.35,0.37,0.22,0.31,0.26,0.31
c_1,0.79,1.04,0.64,1.09,1.19,0.83,0.42,0.25,0.38,0.4,0.3,0.32,0.27,0.32,0.32,0.28
d_1,1.1,0.96,1.0,0.64,0.92,0.83,0.42,0.43,0.38,0.3,0.37,0.35,0.27,0.32,0.33,0.21
b_1,1.04,1.28,0.69,1.01,0.62,1.34,0.5,0.38,0.55,0.49,0.45,0.37,0.31,0.32,0.36,0.3
a_1,1.19,1.24,1.17,1.19,0.68,0.58,0.64,0.49,0.43,0.55,0.5,0.48,0.39,0.45,0.43,0.35
h_1,1.47,1.69,1.7,1.51,1.37,1.29,0.53,0.59,0.53,0.77,0.58,0.53,0.51,0.51,0.48,0.46
d_0,1.16,1.69,1.95,1.92,1.82,1.53,0.81,0.54,0.59,0.78,0.63,0.61,0.56,0.54,0.61,0.57
c_0,1.71,1.74,2.15,1.24,1.51,1.62,0.82,0.85,0.55,0.7,0.71,0.64,0.57,0.63,0.59,0.48
g_1,1.67,1.62,1.8,1.78,1.59,1.47,0.64,0.68,0.65,0.51,0.65,0.67,0.45,0.51,0.55,0.47
b_0,1.65,1.76,2.49,1.55,2.04,1.41,0.84,0.74,0.43,0.8,0.53,0.62,0.56,0.67,0.55,0.5
f_0,1.62,2.34,1.85,1.74,1.78,1.57,0.86,0.69,0.73,0.57,0.71,0.51,0.61,0.6,0.7,0.4
h_0,2.12,2.2,2.06,1.98,1.98,1.63,0.99,0.73,0.68,0.91,0.69,0.7,0.63,0.59,0.64,0.61
a_0,1.9,2.11,2.07,2.33,2.71,2.45,0.96,0.8,0.64,0.95,0.51,0.77,0.61,0.52,0.62,0.52
e_0,2.07,2.74,2.02,1.93,2.08,1.7,0.87,0.78,0.71,0.87,0.81,0.48,0.63,0.76,0.52,0.55
g_0,2.03,2.19,2.07,2.39,2.06,2.03,0.79,0.77,0.74,1.05,0.77,0.85,0.52,0.7,0.73,0.64
