,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.82,0.92,1.12,0.96,0.76,0.71,0.69,0.85,0.62,0.63,0.71,0.59,0.58,0.58,0.59
f_1,1.2,1.0,0.9,0.98,0.85,0.79,0.58,0.67,0.69,0.57,0.62,0.56,0.5,0.57,0.53,0.46
d_1,1.09,1.09,1.0,0.95,0.85,0.83,0.76,0.59,0.69,0.87,0.68,0.65,0.62,0.55,0.5,0.56
c_1,0.89,1.03,1.05,1.0,1.3,0.88,0.72,0.7,0.52,0.61,0.52,0.6,0.61,0.56,0.54,0.54
b_1,1.03,1.19,1.11,0.77,1.0,1.25,0.74,0.75,0.62,0.76,0.71,0.66,0.66,0.59,0.65,0.57
a_1,1.27,1.26,1.25,1.16,0.83,1.0,0.98,0.76,0.88,0.81,0.88,0.78,0.78,0.73,0.7,0.68
h_1,1.44,1.69,1.38,1.36,1.29,1.1,1.0,1.05,0.94,0.81,0.88,0.84,0.83,0.8,0.9,0.74
g_1,1.43,1.47,1.76,1.45,1.3,1.31,0.97,1.0,0.88,0.88,0.87,1.08,0.77,0.81,0.82,0.83
d_0,1.22,1.46,1.44,1.91,1.64,1.14,1.07,1.08,1.0,0.84,0.92,0.95,1.05,0.83,0.96,0.86
c_0,1.59,1.7,1.2,1.63,1.33,1.25,1.16,1.13,1.13,1.0,1.33,0.94,0.96,0.93,0.89,0.95
b_0,1.57,1.63,1.44,2.05,1.4,1.01,1.13,1.15,1.09,0.75,1.0,1.02,0.91,1.22,0.88,0.92
f_0,1.44,1.72,1.62,1.61,1.49,1.24,1.17,0.91,1.02,1.05,0.97,1.0,1.02,0.97,0.81,1.25
h_0,1.7,1.94,1.64,1.64,1.51,1.26,1.15,1.32,0.97,1.03,1.08,0.98,1.0,0.92,1.13,0.86
a_0,1.67,1.79,1.71,1.87,1.74,1.38,1.29,1.22,1.2,1.01,0.9,1.18,1.16,1.0,0.99,0.89
g_0,1.78,1.98,2.03,1.84,1.52,1.35,1.08,1.23,1.07,1.1,1.1,1.27,0.91,1.02,1.0,0.96
e_0,1.75,2.28,1.8,1.8,1.74,1.54,1.38,1.16,1.12,1.05,1.15,0.86,1.17,1.02,0.94,1.0
