,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,3.63,0.4,0.32,0.49,0.42,0.38,0.71,1.63,0.7,0.71,0.99,0.83,0.73,0.87,0.18,0.97
f_1,0.72,3.85,0.41,0.36,0.37,0.27,0.66,0.64,0.68,0.92,0.77,0.16,0.87,0.91,0.56,0.75
d_1,0.4,0.35,4.16,0.34,0.36,0.35,0.85,0.19,0.73,1.63,0.89,0.85,0.83,0.97,1.16,0.95
c_1,0.34,0.4,0.37,4.3,0.69,0.51,0.68,0.83,0.62,0.14,0.7,0.73,0.79,0.92,0.87,1.12
b_1,0.31,0.42,0.49,0.41,4.96,0.69,0.69,0.85,0.77,0.64,0.07,0.87,0.64,0.88,0.95,0.58
a_1,0.43,0.43,0.32,0.47,0.38,7.28,0.81,0.61,0.72,0.84,0.92,0.92,0.12,0.71,0.91,0.68
h_1,0.68,1.08,0.66,0.57,0.64,0.61,4.96,1.09,1.35,1.1,1.25,1.31,1.45,0.49,1.37,1.58
d_0,0.74,0.71,0.23,1.37,0.64,0.65,1.27,3.81,1.45,1.05,1.77,1.47,1.35,1.67,1.21,1.46
g_1,0.64,0.57,1.05,0.72,0.53,0.48,1.33,1.33,6.49,1.59,1.44,2.31,1.58,1.77,1.66,0.71
c_0,0.69,0.85,0.89,0.3,0.45,0.63,1.68,1.42,1.49,4.03,2.95,1.93,1.62,1.71,1.58,1.86
b_0,0.69,0.97,0.69,0.73,0.2,0.64,1.74,1.54,1.54,1.25,4.5,1.85,2.72,1.47,1.37,1.43
f_0,0.45,0.23,1.0,0.9,0.64,0.64,1.56,1.66,1.61,1.59,1.54,5.04,2.08,1.81,3.44,2.01
a_0,0.88,0.76,0.78,0.69,0.67,0.26,1.4,1.21,1.44,1.49,0.94,1.62,6.28,1.65,1.25,1.07
h_0,0.71,0.99,0.7,0.65,0.53,0.63,0.59,1.37,1.75,1.29,1.39,1.56,1.44,0.46,1.4,2.28
e_0,0.15,0.75,0.95,0.65,0.81,0.92,1.29,1.41,1.68,1.47,1.83,1.56,1.3,1.82,6.1,1.76
g_0,0.63,0.65,1.17,0.66,0.81,0.56,1.11,0.93,0.49,1.12,1.37,2.49,1.18,1.37,1.41,0.63
