,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.74,0.67,0.63,0.67,0.58,0.29,0.32,0.33,0.28,0.3,0.34,0.2,0.3,0.27,0.27
e_1,0.46,0.41,0.64,0.8,0.71,0.65,0.42,0.37,0.41,0.3,0.3,0.36,0.27,0.29,0.29,0.41
d_1,0.72,0.75,0.39,0.61,0.67,0.66,0.36,0.4,0.26,0.33,0.28,0.29,0.25,0.28,0.19,0.29
c_1,0.7,0.53,0.85,0.39,0.7,0.65,0.34,0.19,0.38,0.33,0.28,0.29,0.28,0.3,0.24,0.31
b_1,0.7,0.67,0.71,0.46,0.36,0.82,0.38,0.31,0.39,0.43,0.48,0.27,0.24,0.29,0.28,0.32
a_1,0.83,0.72,0.62,0.64,0.41,0.3,0.39,0.38,0.39,0.35,0.43,0.31,0.32,0.41,0.24,0.32
h_1,0.74,0.59,0.63,0.66,0.66,0.52,0.25,0.27,0.38,0.27,0.25,0.25,0.28,0.25,0.27,0.24
d_0,0.6,0.42,0.84,0.85,0.65,0.55,0.37,0.24,0.44,0.26,0.27,0.3,0.27,0.27,0.28,0.34
g_1,0.73,0.6,0.76,0.58,0.62,0.57,0.28,0.3,0.21,0.31,0.29,0.29,0.19,0.27,0.25,0.27
c_0,0.76,0.63,0.43,0.89,0.59,0.52,0.37,0.4,0.33,0.23,0.32,0.27,0.28,0.31,0.25,0.31
b_0,0.69,0.6,0.57,0.85,0.72,0.45,0.37,0.34,0.32,0.19,0.22,0.28,0.25,0.32,0.24,0.26
f_0,0.78,0.56,0.59,0.63,0.7,0.58,0.37,0.29,0.26,0.28,0.26,0.21,0.25,0.28,0.18,0.36
h_0,0.7,0.63,0.59,0.57,0.65,0.57,0.38,0.28,0.37,0.28,0.28,0.27,0.26,0.27,0.24,0.26
a_0,0.65,0.62,0.64,0.68,0.72,0.6,0.38,0.29,0.33,0.23,0.18,0.26,0.25,0.2,0.24,0.3
g_0,0.66,0.61,0.64,0.67,0.59,0.56,0.27,0.27,0.4,0.26,0.25,0.31,0.21,0.27,0.28,0.3
e_0,0.67,0.72,0.6,0.63,0.66,0.57,0.36,0.27,0.34,0.25,0.24,0.16,0.25,0.29,0.21,0.18
