,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.43,1.15,0.7,0.7,0.78,0.74,1.61,1.6,1.94,1.56,0.82,1.69,1.87,1.25,1.69,1.63
e_1,0.73,2.43,0.9,0.71,0.68,0.81,1.45,1.32,2.64,1.66,1.92,1.75,2.08,0.93,1.71,2.11
c_1,0.81,0.68,2.49,0.75,1.21,0.57,1.57,1.58,1.44,0.87,1.68,1.1,2.41,2.03,1.55,2.5
d_1,0.88,0.75,0.7,2.53,0.82,0.53,1.55,1.35,0.99,2.98,1.6,1.65,2.32,1.59,1.37,2.04
b_1,0.75,0.78,0.75,0.68,2.7,1.41,1.62,1.34,1.66,1.71,1.58,0.8,1.9,1.69,1.65,1.89
a_1,0.8,0.83,0.88,0.86,0.56,3.35,1.41,1.56,1.58,1.29,1.87,2.15,2.04,2.35,0.83,1.68
h_1,1.19,0.99,1.06,1.01,0.93,1.04,3.89,2.46,2.07,2.06,2.47,2.14,1.46,2.49,1.79,3.32
g_1,0.96,0.86,0.88,1.49,0.94,0.93,1.57,4.34,2.14,2.1,3.35,2.55,1.99,1.9,2.42,1.89
d_0,0.97,0.92,1.63,0.52,0.99,1.18,2.09,1.91,3.53,1.96,2.39,2.35,2.62,2.3,2.93,2.91
c_0,1.3,1.06,0.76,0.96,0.75,1.06,1.96,2.04,2.5,3.8,2.59,4.1,3.19,2.33,2.73,3.48
f_0,0.56,0.89,1.17,1.23,1.1,1.04,1.67,1.52,2.47,2.21,3.96,2.82,2.99,3.75,1.93,2.39
b_0,1.06,1.05,1.26,1.27,0.49,0.78,1.91,2.02,2.33,1.72,1.82,4.15,3.21,1.85,4.53,2.73
h_0,1.21,0.88,1.01,1.09,1.02,0.89,1.35,2.64,2.33,2.0,2.15,2.19,2.09,2.52,2.71,3.63
e_0,1.36,0.5,0.97,1.16,1.01,0.76,1.85,2.38,2.0,2.67,2.02,3.33,2.65,4.74,2.94,3.03
a_0,1.06,0.97,1.22,1.34,0.87,0.63,2.25,1.85,1.74,2.27,2.14,2.07,2.85,2.01,4.77,2.97
g_0,1.06,0.97,0.88,1.42,1.02,1.0,1.6,0.97,1.95,1.78,2.95,2.41,2.39,2.76,1.97,1.79
