,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,23.94,0.35,0.3,0.36,0.32,0.42,0.77,0.69,1.54,0.59,0.93,0.74,0.76,0.95,0.25,0.87
f_1,0.59,24.78,0.31,0.37,0.27,0.33,0.72,0.63,0.79,0.84,0.14,0.83,0.94,0.6,0.66,0.89
d_1,0.3,0.35,27.19,0.27,0.32,0.28,0.86,0.85,0.16,1.83,0.68,1.23,0.97,0.94,0.8,0.95
c_1,0.32,0.33,0.28,27.94,0.78,0.25,0.68,0.78,0.73,0.16,0.87,0.58,0.82,0.77,0.82,0.71
b_1,0.33,0.33,0.29,0.29,32.73,0.83,0.65,0.81,0.84,0.67,0.9,0.12,0.93,0.71,0.78,0.82
a_1,0.31,0.28,0.36,0.47,0.34,46.98,0.64,0.54,1.01,0.92,0.88,0.69,0.85,0.17,0.72,0.94
h_1,0.54,0.95,0.75,0.63,0.63,0.42,10.07,1.93,1.17,1.07,1.5,1.42,0.51,1.62,1.58,1.7
g_1,0.65,0.45,1.16,0.56,0.58,0.64,1.12,11.56,1.26,1.48,2.54,1.26,1.31,1.92,2.08,0.78
d_0,0.63,0.72,0.17,1.71,0.66,0.59,1.34,0.71,5.15,0.96,1.19,1.16,1.9,1.48,1.52,1.34
c_0,0.72,0.79,0.91,0.23,0.33,0.81,1.49,1.15,1.58,5.96,1.85,3.38,1.63,1.23,1.79,2.15
f_0,0.53,0.23,0.98,0.76,0.71,0.68,1.26,1.62,1.45,1.24,7.37,1.79,1.6,1.38,4.46,1.63
b_0,0.64,1.02,0.67,0.61,0.2,0.52,1.49,1.3,1.33,1.5,1.46,7.28,1.99,3.38,1.26,1.73
h_0,0.61,1.0,0.87,0.69,0.65,0.48,0.29,1.63,0.93,1.34,1.24,1.19,0.66,1.24,1.17,2.17
a_0,0.65,0.72,0.85,0.81,0.62,0.24,1.48,1.02,1.39,1.52,1.87,1.85,2.18,8.12,1.56,0.98
e_0,0.13,0.92,0.85,0.75,0.85,0.41,1.91,1.53,1.4,1.98,1.53,2.0,1.73,1.19,10.48,1.9
g_0,0.58,0.42,1.49,0.62,0.44,0.63,1.67,0.6,1.17,1.07,2.94,1.4,1.84,1.51,1.91,0.61
