,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.12,5.23,2.68,6.03,5.98,5.58,1.69,1.68,0.98,0.99,1.25,1.3,1.07,2.73,1.21,0.97
d_1,5.75,1.12,5.51,5.47,5.47,4.73,1.44,0.91,2.32,0.87,0.89,0.98,0.68,0.98,0.93,0.46
f_1,6.12,4.68,1.12,5.65,4.97,4.52,1.02,1.96,1.36,1.05,2.52,0.94,0.5,1.07,0.95,0.96
c_1,4.48,8.13,6.18,1.13,6.99,5.08,2.13,1.59,0.67,2.96,1.16,1.16,1.0,1.14,1.29,0.8
b_1,7.03,6.98,9.3,3.41,1.14,8.33,1.98,2.19,1.54,2.07,1.3,4.52,1.05,1.6,1.4,1.24
a_1,11.06,9.38,11.21,9.9,4.45,1.15,2.97,2.61,1.91,2.16,2.41,2.32,1.25,1.76,7.49,1.47
h_1,18.44,16.64,18.51,20.95,17.67,16.79,1.8,5.73,4.04,3.79,4.28,3.72,5.99,3.97,3.91,2.29
g_1,18.62,17.21,25.5,18.77,18.9,19.38,4.13,1.85,4.71,4.16,4.32,4.49,2.08,3.5,4.35,4.71
d_0,12.27,52.13,23.26,21.99,20.31,24.88,7.25,7.11,2.4,6.03,4.22,4.28,3.15,3.74,4.09,3.23
c_0,25.21,11.55,24.59,65.51,25.43,22.64,6.94,6.8,7.19,2.34,5.01,4.84,3.27,4.64,4.69,4.21
f_0,20.94,22.72,83.95,27.01,26.16,27.99,7.46,4.39,5.69,5.61,2.32,5.78,3.92,5.13,4.4,2.39
b_0,27.25,19.37,25.69,35.39,60.47,22.39,8.31,7.84,7.85,3.18,6.23,2.32,3.43,5.0,4.19,4.21
h_0,33.09,30.3,44.13,33.47,30.57,32.5,16.98,10.82,6.63,6.65,6.16,6.45,10.74,6.11,5.77,4.05
e_0,57.91,34.42,62.58,43.99,40.61,27.99,8.87,9.14,7.04,7.87,3.87,7.48,5.11,2.52,7.18,3.56
a_0,35.3,34.75,40.02,54.98,85.03,80.6,12.47,14.22,11.2,6.94,9.67,3.55,6.25,6.64,2.55,5.0
g_0,46.32,41.71,49.88,54.98,43.89,44.78,8.4,17.07,8.65,10.4,7.38,9.84,5.17,8.37,8.19,13.33
