,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.07,3.9,2.99,2.44,3.01,2.76,0.9,1.03,1.08,1.18,0.77,1.48,0.53,0.68,0.68,0.77
e_1,2.01,1.07,3.82,3.0,3.5,3.4,1.32,1.15,0.82,1.25,1.0,1.06,0.84,2.07,0.89,0.76
c_1,3.79,3.1,1.07,4.36,3.76,3.5,1.61,0.64,2.03,1.08,0.94,0.82,0.81,0.89,0.77,0.74
d_1,4.35,3.69,3.69,1.07,3.35,3.06,1.2,2.07,1.18,0.88,1.09,0.91,0.97,0.7,0.89,0.5
b_1,4.19,5.11,2.36,3.86,1.07,3.83,1.47,1.36,1.24,1.53,2.55,1.16,0.97,0.9,1.04,0.83
a_1,6.08,4.83,5.02,6.12,2.66,1.07,2.21,1.99,1.58,2.11,2.28,1.59,1.13,1.4,,1.13
h_1,8.31,7.16,7.25,8.34,7.9,5.51,1.38,2.8,1.79,3.48,1.95,1.91,3.72,1.9,2.1,1.99
d_0,8.14,5.24,9.7,15.47,8.49,5.73,3.22,1.62,2.63,3.25,2.49,2.31,1.76,1.89,1.84,1.83
c_0,8.99,10.84,18.54,5.7,9.45,6.89,3.92,2.66,1.6,3.15,3.17,2.81,1.86,2.23,2.23,1.8
g_1,10.02,10.11,9.98,10.39,9.56,5.45,2.61,2.99,2.59,1.39,2.81,2.92,1.64,2.61,2.57,2.11
b_0,12.41,8.23,14.06,8.96,23.48,6.91,3.39,2.91,1.76,3.59,1.56,2.51,2.06,3.13,2.86,1.84
f_0,20.15,10.24,10.16,9.43,10.23,7.93,4.14,3.19,2.84,2.44,3.07,1.64,2.63,2.89,2.77,1.54
h_0,15.61,10.57,11.72,10.15,11.32,11.47,6.38,3.72,3.64,4.48,3.38,3.8,3.97,3.08,3.05,3.22
e_0,23.22,17.88,12.16,14.99,11.55,12.5,4.82,3.63,4.79,4.15,3.43,2.18,3.34,1.74,3.93,3.3
a_0,17.15,12.2,17.03,13.79,17.01,,5.16,4.89,3.97,5.37,2.11,3.66,2.98,3.47,1.67,3.3
g_0,15.39,14.4,15.98,15.77,15.87,12.78,4.17,4.95,3.89,,4.07,4.71,2.58,3.38,3.52,
