,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.82,3.9,1.87,2.01,1.67,2.27,6.92,8.94,7.61,11.03,10.21,5.53,15.4,9.88,17.1,8.29
e_1,2.43,6.16,1.78,2.89,2.11,2.08,8.08,9.84,8.34,18.49,10.31,11.73,16.01,12.48,15.32,8.34
d_1,2.37,1.97,6.31,1.82,2.51,1.91,8.78,18.42,8.17,5.82,12.54,11.26,16.39,11.59,15.67,14.13
c_1,1.98,1.85,2.28,6.58,4.41,2.2,7.72,6.45,6.46,9.68,7.51,10.33,15.67,9.22,15.9,10.76
b_1,2.14,1.96,2.25,2.37,7.89,4.63,8.45,9.03,7.46,9.06,7.26,10.97,16.43,9.6,14.26,10.66
a_1,2.02,2.1,2.63,2.3,2.32,11.68,8.12,10.82,9.92,9.5,11.01,11.07,18.47,9.89,16.97,11.54
h_1,3.18,2.18,2.75,2.2,2.2,2.37,17.33,10.63,12.1,11.54,11.74,10.62,12.39,10.76,23.77,12.68
c_0,2.86,2.24,2.55,1.94,1.62,2.52,10.14,18.07,11.3,12.73,22.53,13.89,19.54,17.23,18.17,15.12
g_1,2.15,2.11,3.55,2.44,2.51,2.24,8.89,11.58,22.15,9.75,10.82,17.03,14.4,13.45,11.39,12.68
d_0,2.44,2.09,1.66,4.43,2.62,1.94,8.87,7.68,9.81,18.57,12.03,12.06,16.07,14.33,19.02,13.18
b_0,2.81,2.56,2.65,2.52,1.62,2.04,8.78,10.71,9.54,11.96,22.14,12.88,19.03,26.46,19.37,12.07
f_0,2.03,1.78,2.98,2.65,2.6,2.53,11.34,11.86,9.98,11.2,11.8,22.73,15.74,14.19,17.62,30.61
h_0,3.28,2.55,2.5,2.54,2.16,2.31,6.69,10.41,13.25,10.74,11.67,11.29,12.91,12.46,21.04,10.97
a_0,2.43,2.56,2.88,2.85,2.47,1.57,9.84,10.97,8.3,11.7,11.24,12.31,16.47,26.12,15.03,14.25
g_0,2.18,2.19,3.6,2.6,2.22,2.01,8.45,11.49,7.83,10.81,12.23,18.5,16.45,11.79,13.3,15.99
e_0,2.57,1.82,2.79,2.78,2.7,2.1,8.59,12.77,7.38,10.7,10.23,11.24,19.2,12.03,18.35,30.15
