,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.42,0.53,0.89,0.9,0.89,0.72,0.52,0.5,0.46,0.45,0.43,0.41,0.4,0.34,0.54,0.34
f_1,0.9,0.4,0.77,0.9,0.71,0.79,0.31,0.44,0.32,0.33,0.47,0.34,0.31,0.22,0.3,0.35
d_1,0.83,0.93,0.4,0.76,0.86,0.8,0.44,0.33,0.36,0.54,0.32,0.36,0.34,0.28,0.41,0.21
c_1,0.7,0.75,1.0,0.37,0.9,0.88,0.43,0.38,0.37,0.24,0.34,0.31,0.37,0.34,0.36,0.3
b_1,0.77,0.96,0.82,0.51,0.36,1.07,0.49,0.44,0.46,0.38,0.42,0.67,0.4,0.35,0.32,0.36
a_1,0.86,0.85,0.8,0.84,0.48,0.3,0.47,0.53,0.39,0.52,0.4,0.45,0.68,0.35,0.42,0.39
h_1,0.66,0.86,0.63,0.7,0.72,0.65,0.25,0.51,0.32,0.33,0.3,0.32,0.32,0.37,0.32,0.31
g_1,0.68,0.77,0.8,0.74,0.71,0.63,0.3,0.23,0.34,0.29,0.39,0.32,0.31,0.22,0.35,0.36
c_0,0.66,0.86,0.48,1.37,0.75,0.68,0.42,0.38,0.25,0.39,0.32,0.43,0.41,0.32,0.37,0.29
d_0,0.47,0.74,0.86,0.87,0.8,0.6,0.41,0.45,0.33,0.25,0.31,0.33,0.37,0.34,0.36,0.29
f_0,0.68,1.1,0.7,0.74,0.72,0.62,0.43,0.28,0.32,0.33,0.22,0.3,0.32,0.29,0.37,0.19
b_0,0.7,0.79,0.59,1.02,1.09,0.65,0.34,0.41,0.18,0.32,0.35,0.22,0.36,0.3,0.28,0.27
a_0,0.72,0.75,0.72,0.75,0.92,0.83,0.39,0.44,0.28,0.3,0.33,0.19,0.2,0.31,0.24,0.27
h_0,0.67,0.86,0.79,0.73,0.65,0.56,0.43,0.37,0.27,0.29,0.32,0.3,0.31,0.32,0.28,0.29
e_0,0.94,0.93,0.62,0.76,0.84,0.56,0.36,0.44,0.31,0.3,0.18,0.31,0.35,0.3,0.2,0.24
g_0,0.67,0.76,0.75,0.76,0.72,0.66,0.3,0.4,0.28,0.33,0.36,0.3,0.33,0.23,0.31,0.32
