,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.45,46.33,33.36,28.48,35.68,,9.22,6.09,6.46,,7.55,5.8,5.38,8.51,5.63,2.63
e_1,40.12,0.44,19.07,26.88,34.14,30.94,11.65,10.86,6.72,8.66,5.52,9.09,4.13,8.0,,5.83
f_1,29.64,36.88,0.44,38.22,35.03,32.03,7.45,17.95,6.2,6.33,6.97,,3.15,6.61,7.04,4.82
c_1,49.51,31.53,28.2,0.41,42.67,48.62,11.06,8.03,,3.77,10.11,9.09,4.88,,,6.36
b_1,43.27,53.95,38.93,22.16,0.38,,8.09,9.37,10.54,6.54,,8.97,3.85,10.62,10.36,5.99
a_1,,37.44,45.21,56.62,,0.33,10.79,15.34,9.4,8.49,15.48,6.97,11.02,,,4.66
h_1,15.81,20.66,20.96,15.91,14.1,21.64,0.38,6.11,4.3,3.43,3.19,3.0,,2.83,3.52,2.41
g_1,19.49,21.07,26.14,20.54,18.95,17.36,3.95,0.34,4.97,4.14,4.68,4.85,1.83,4.44,4.95,
c_0,9.13,19.61,16.17,,15.61,23.44,4.98,3.75,0.54,3.46,2.56,3.01,1.82,1.96,3.0,1.79
d_0,,8.25,17.76,15.17,15.93,12.99,3.94,5.7,3.13,0.5,4.42,3.27,2.04,4.48,2.43,2.66
b_0,16.01,14.48,15.02,20.63,,21.77,5.13,4.28,1.47,3.21,0.48,3.44,3.76,3.86,4.27,3.52
f_0,16.45,26.09,,14.39,20.39,11.83,5.38,2.92,3.24,3.72,5.13,0.47,2.99,2.9,2.83,1.26
h_0,12.16,11.91,12.02,13.35,22.17,10.72,,3.62,2.12,2.71,2.43,2.22,,1.98,2.35,2.52
a_0,18.42,16.18,20.99,,24.95,,6.4,6.61,4.36,4.87,1.84,3.24,2.68,0.42,,2.92
e_0,18.2,,22.8,,15.0,,5.17,4.35,4.77,3.03,6.01,1.99,3.09,,0.38,3.78
g_0,12.35,15.99,24.48,11.07,12.35,13.43,2.5,,3.12,3.29,2.15,3.74,1.63,3.47,2.82,
