,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,107.31,67.54,76.47,105.5,134.32,384.19,10149.22,29953.93,20914.76,26783.31,38552.14,45613.31,91791.11,131035.57,136871.29,185605.4
f_1,89.07,111.32,77.79,90.86,123.36,403.34,7804.54,19092.64,19063.92,26281.93,34294.66,31859.98,86590.54,108923.96,110040.94,164401.12
d_1,56.79,66.73,138.43,68.07,128.89,375.92,9074.12,13626.7,17580.05,41204.78,36913.52,40925.95,95453.69,124980.55,148225.06,144436.65
c_1,52.14,56.06,87.6,139.37,182.98,345.32,9247.22,14234.75,17564.13,19832.19,27298.31,39652.99,93634.74,112129.79,140054.7,141367.83
b_1,47.94,51.67,70.75,65.99,199.43,523.67,7840.23,14505.59,13514.9,23492.96,24524.98,31563.97,68281.28,82875.92,116366.52,143667.34
a_1,34.04,38.78,54.88,48.56,64.43,494.25,6225.3,11744.33,11232.19,15879.8,24143.6,25882.66,55333.49,58033.16,78925.65,102239.95
h_1,15.71,22.51,22.32,20.11,28.33,91.69,3443.03,4561.07,5459.67,6114.48,9340.73,9380.42,22071.67,32399.15,30627.5,48158.69
d_0,12.0,14.41,14.65,28.41,27.09,77.09,2144.34,4860.12,3869.54,4490.76,7209.02,8986.1,18967.62,22345.05,27857.33,36588.42
g_1,11.16,12.19,23.09,16.85,29.07,72.96,1896.69,3536.13,5913.98,5249.16,6499.9,11954.05,17321.51,26238.78,29999.27,30799.91
c_0,11.99,14.01,15.24,13.72,19.96,68.89,2015.51,3596.85,3412.15,6976.19,10645.65,8603.82,16566.2,26138.94,31660.23,31722.8
b_0,10.65,13.11,14.32,16.64,17.1,57.5,1716.67,3278.84,3550.82,4004.27,7888.07,6980.67,16967.99,37195.17,24980.12,28132.38
f_0,9.04,10.5,15.91,13.49,20.8,60.34,1892.47,3017.21,2849.88,4258.51,6532.16,9485.52,14687.11,23737.02,41141.64,26980.68
h_0,7.51,10.52,12.01,10.87,17.98,49.19,1137.72,2304.25,3149.09,3844.5,5048.39,6019.45,10838.21,15985.2,19177.44,26917.35
a_0,6.72,8.26,10.28,9.77,14.07,41.6,1240.99,2183.16,2648.5,3236.07,3682.22,4766.63,11652.23,21496.84,18209.14,21252.65
e_0,5.31,8.94,9.39,10.07,14.85,41.73,1302.72,2072.98,1944.4,2836.53,4172.14,4158.39,12231.84,14286.94,23418.99,19691.08
g_0,5.89,5.93,12.57,10.21,13.96,42.58,1083.14,1758.35,1754.44,2898.64,4457.49,6404.11,9773.55,12604.85,17189.27,17944.16
