,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,18.48,36.65,41.62,37.33,47.01,7.55,6.32,7.16,10.76,6.22,5.98,4.97,4.88,,4.83
f_1,30.93,0.45,29.6,35.38,29.48,26.3,6.5,7.25,7.07,10.62,6.31,,3.65,6.49,6.24,5.36
c_1,40.55,37.33,0.43,44.09,37.04,25.49,9.55,3.13,,10.76,6.66,6.08,5.07,7.61,7.82,4.62
d_1,54.54,34.08,36.72,0.43,34.1,31.51,8.61,,6.08,5.85,6.22,11.31,4.18,8.41,9.4,2.28
b_1,40.91,38.59,20.06,33.3,0.38,48.62,10.98,9.26,10.67,11.71,,7.53,3.87,,9.11,5.05
a_1,48.78,37.36,40.94,60.06,18.98,0.34,11.52,9.64,7.47,14.18,14.68,10.81,8.46,,,7.47
h_1,20.86,22.44,20.37,16.61,18.62,17.63,0.36,3.82,3.75,4.25,4.06,2.62,,2.92,3.58,2.42
d_0,8.46,14.88,15.08,,18.15,12.85,3.84,0.54,2.59,4.13,2.57,3.15,1.77,3.65,2.74,2.83
c_0,13.98,14.29,,8.68,20.75,11.11,4.61,3.06,0.5,5.43,3.79,2.92,2.14,2.74,2.64,2.86
g_1,24.88,24.25,19.53,17.25,19.69,25.48,5.13,5.12,4.95,0.32,4.46,4.43,2.13,4.82,2.74,
b_0,13.58,15.81,28.13,15.84,,26.98,6.27,2.82,1.66,6.27,0.46,3.17,2.3,2.92,3.31,2.2
f_0,15.92,,14.57,16.15,17.06,18.76,5.53,3.64,3.04,2.38,5.92,0.45,3.32,3.15,2.9,2.13
h_0,15.44,12.96,10.95,12.6,11.97,15.62,,2.01,2.69,4.33,2.45,3.07,,2.51,2.31,1.44
a_0,19.45,22.75,20.35,17.41,,,4.55,3.83,5.8,4.71,2.55,3.66,3.03,0.39,3.46,
e_0,,21.81,21.57,20.04,18.03,,4.58,4.69,4.32,5.49,4.32,2.43,2.74,4.27,0.38,2.7
g_0,13.98,16.9,14.7,16.17,12.09,16.03,3.58,3.89,2.79,,2.45,2.55,1.41,,2.79,
