,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,11.37,0.77,0.51,0.9,0.62,0.57,0.96,1.02,2.46,0.93,0.99,1.22,0.94,1.05,0.93,0.83
f_1,1.53,9.91,0.72,0.7,0.6,0.66,0.99,0.77,0.95,0.76,0.98,0.55,0.96,0.89,1.05,0.61
d_1,0.66,0.78,12.34,0.56,0.62,0.73,1.0,0.98,0.54,2.79,1.33,0.98,1.0,1.07,0.95,0.87
c_1,0.68,0.72,0.66,11.37,1.72,0.64,0.9,0.83,0.9,0.49,0.6,0.86,0.99,0.91,0.89,1.03
b_1,0.55,0.65,0.74,0.64,14.9,1.82,0.72,0.82,0.73,0.85,0.56,0.83,0.74,0.93,0.86,0.98
a_1,0.6,0.71,0.82,0.82,0.65,18.93,1.1,1.09,0.95,0.87,1.17,0.97,0.65,1.16,0.92,1.26
h_1,0.79,1.12,0.78,0.89,0.83,0.57,3.0,1.57,0.9,0.96,1.09,1.05,1.13,0.79,1.5,1.22
g_1,0.62,0.52,1.79,0.75,0.69,0.83,1.06,3.43,0.62,1.08,0.93,2.25,0.93,1.0,0.94,1.36
d_0,0.63,0.75,0.57,2.15,0.78,0.77,0.97,1.04,1.92,0.57,0.95,1.25,0.84,1.04,1.08,1.33
c_0,0.71,1.01,1.0,0.61,0.59,0.85,0.96,1.22,0.95,2.18,3.33,1.41,1.48,1.21,1.11,1.06
b_0,0.7,1.01,0.9,0.91,0.45,0.73,0.97,1.09,0.98,1.08,2.62,1.21,3.33,1.32,1.36,1.14
f_0,0.52,0.61,1.15,0.97,0.73,0.87,1.33,1.38,1.06,1.16,1.1,2.65,1.22,1.29,1.15,3.11
a_0,0.68,0.78,1.33,0.8,0.78,0.41,1.27,0.93,0.89,1.01,1.32,1.3,2.62,1.12,1.49,1.16
h_0,0.74,1.34,0.98,0.75,0.73,0.72,0.73,1.16,0.84,0.83,1.04,0.93,1.2,0.73,1.58,0.91
g_0,0.64,0.73,1.58,0.72,0.73,0.74,1.01,0.93,0.95,1.14,1.13,2.03,1.17,1.19,0.86,1.26
e_0,0.5,0.85,0.89,0.91,0.94,0.95,1.35,1.1,1.05,1.08,0.98,1.12,1.08,0.82,1.46,2.77
