,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,114.18,114.74,84.32,97.02,112.68,415.85,12540.48,19936.3,23452.5,29289.78,40232.24,59874.89,111936.68,130046.12,122749.9,245610.0
e_1,69.1,121.5,75.14,107.21,131.72,403.97,14882.45,20783.54,23777.66,41871.99,42631.78,76244.8,115944.15,140881.58,165230.82,232136.84
d_1,80.7,77.64,129.86,79.55,111.77,414.56,13120.49,19625.65,36177.87,22631.54,46506.28,77433.62,117528.93,139309.85,167327.98,215003.39
c_1,67.17,72.12,84.67,136.53,178.74,370.63,11657.09,16513.85,18734.54,21532.5,28338.04,60648.28,103400.48,124160.33,141523.43,216128.37
b_1,70.21,60.57,78.21,73.31,169.68,558.43,11475.16,18884.32,24954.48,21941.55,30966.96,59473.18,84112.69,141648.32,153049.41,223241.84
a_1,46.43,47.34,56.04,57.36,56.83,457.08,9298.53,13683.13,16919.33,16101.05,26027.92,43390.29,62681.84,89137.04,108055.74,154018.11
h_1,20.85,18.22,23.49,20.86,26.07,79.53,4205.71,6136.01,5948.33,5845.28,9747.62,16047.02,25907.0,27657.23,36910.18,67577.84
g_1,15.37,14.22,22.59,19.25,23.04,75.05,2317.76,6171.59,4757.62,4354.65,7533.63,18086.37,22872.63,25480.84,38397.95,43262.32
c_0,15.55,15.54,17.85,17.86,18.56,75.53,2897.69,4616.67,6342.18,5789.42,12148.75,15166.67,27741.82,28019.0,36328.95,49319.3
d_0,13.73,13.48,15.02,26.66,26.44,70.58,2693.7,4300.3,3611.47,6306.76,6894.61,13022.96,22020.37,26003.14,30086.85,46940.0
b_0,13.78,14.09,15.82,16.95,16.37,51.63,2326.32,4024.83,3902.71,4511.32,8855.65,12811.68,32688.79,26614.62,28925.29,36774.9
f_0,10.45,9.89,13.41,14.53,16.95,55.34,2012.53,3047.42,3907.58,3692.91,5776.04,12940.22,16773.02,21591.27,40094.8,30488.74
a_0,10.05,8.86,11.4,11.43,16.24,38.89,1971.59,2681.76,2940.19,3088.79,4538.73,9065.85,18805.77,19210.0,21617.51,28973.93
h_0,11.28,9.33,11.57,10.78,12.37,50.62,1387.34,3272.65,2955.93,2939.57,4661.61,7808.56,12324.68,14471.43,19393.05,33920.52
e_0,9.69,6.03,10.67,10.61,11.93,46.24,1597.71,2303.6,2690.6,2870.03,4435.69,6212.72,12103.01,14126.68,25938.35,27322.48
g_0,6.97,7.12,12.12,9.3,11.56,38.92,1302.61,2218.29,2649.55,2160.37,4202.97,9383.92,12436.69,12336.74,18529.22,22484.33
