,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.4,2.16,1.44,1.39,1.35,1.31,2.66,3.19,2.86,2.81,2.98,2.39,3.42,2.53,3.14,4.25
e_1,1.37,2.42,1.94,1.34,1.36,1.36,2.76,4.87,3.11,2.92,3.61,3.57,4.43,3.04,3.64,3.92
c_1,1.48,1.16,2.59,1.5,2.5,1.67,2.85,2.56,2.16,2.56,2.15,3.08,3.94,3.65,2.71,3.52
d_1,1.74,1.52,1.27,2.64,1.41,1.26,2.83,2.71,4.83,2.61,3.6,3.11,4.43,3.19,3.48,3.76
b_1,1.45,1.47,1.23,1.51,2.76,2.65,2.92,2.82,3.25,2.84,2.41,3.26,3.85,3.4,2.52,4.13
a_1,1.62,1.34,1.46,1.69,1.2,3.24,3.41,3.29,3.44,3.41,4.0,3.83,3.96,3.75,3.1,4.33
h_1,1.87,1.56,1.51,1.75,1.46,1.25,4.31,2.99,2.97,3.88,3.34,3.51,3.41,3.76,3.86,5.24
d_0,1.43,1.33,2.47,1.21,1.8,1.36,3.17,4.07,2.9,3.05,3.22,3.64,4.28,3.97,3.68,4.66
c_0,1.69,1.56,1.59,1.54,1.31,1.48,3.46,3.48,4.37,3.34,5.91,3.49,4.35,3.71,4.04,4.89
g_1,1.49,1.48,1.64,2.08,1.35,1.43,2.67,3.02,3.31,4.78,3.12,4.36,3.77,4.12,3.82,3.15
b_0,1.83,1.55,1.96,1.48,1.21,1.08,3.31,3.54,2.88,3.34,4.72,3.25,4.84,3.96,6.7,4.6
f_0,1.49,1.25,1.76,1.78,1.6,1.46,3.01,3.43,3.42,2.87,3.68,4.89,3.93,6.49,4.09,4.15
h_0,1.97,1.4,1.62,1.54,1.41,1.49,2.73,3.32,3.31,3.86,3.61,3.28,3.65,3.31,3.52,5.65
e_0,1.59,1.3,1.63,1.82,1.72,1.53,3.02,2.92,3.4,2.9,3.08,3.26,4.01,5.31,3.85,4.85
a_0,1.78,1.44,1.77,1.6,1.81,0.94,3.03,3.76,3.45,2.71,3.2,3.3,4.8,4.31,5.58,4.41
g_0,1.45,1.41,1.57,2.28,1.45,1.42,2.77,2.84,3.44,3.03,3.6,4.6,3.45,3.96,3.83,3.72
