,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.69,0.91,0.91,0.83,0.79,0.67,1.11,0.69,0.65,0.62,0.61,0.63,0.66,,0.48
f_1,1.45,1.0,0.8,0.89,1.05,1.07,0.56,0.7,0.72,0.69,0.57,,0.46,0.51,0.59,0.58
d_1,1.1,1.25,1.0,1.01,0.79,0.89,0.9,,0.53,0.74,0.59,0.73,0.61,0.45,0.71,0.42
c_1,1.1,1.12,0.99,1.0,1.18,0.79,0.81,0.51,0.73,,0.75,0.62,0.57,0.73,0.61,0.57
b_1,1.21,0.95,1.27,0.85,1.0,1.47,0.53,0.6,0.79,0.89,,0.68,0.65,0.65,,0.56
a_1,1.26,0.94,1.12,1.26,0.68,1.0,0.89,0.68,0.89,0.59,0.91,0.66,0.94,,,0.7
h_1,1.48,1.8,1.11,1.24,1.89,1.12,1.0,1.02,0.86,0.75,0.96,0.78,,0.66,0.89,1.06
d_0,0.9,1.44,,1.96,1.68,1.46,0.98,1.0,0.95,0.8,1.02,0.92,0.92,0.86,0.85,0.93
g_1,1.45,1.39,1.89,1.36,1.27,1.13,1.16,1.05,1.0,1.1,0.71,1.13,0.82,1.12,0.8,
c_0,1.53,1.44,1.36,,1.12,1.69,1.34,1.25,0.91,1.0,1.4,0.93,0.8,0.92,0.64,0.78
b_0,1.6,1.76,1.69,1.33,,1.1,1.04,0.98,1.42,0.72,1.0,1.16,0.97,1.06,0.97,0.95
f_0,1.65,,1.37,1.62,1.48,1.52,1.29,1.08,0.88,1.07,0.86,1.0,1.08,0.83,1.23,0.74
h_0,1.58,2.16,1.64,1.77,1.54,1.07,,1.09,1.23,1.25,1.03,0.93,,0.8,0.77,1.39
a_0,1.52,1.98,2.2,1.38,1.53,,1.5,1.16,0.9,1.08,0.94,1.21,1.25,1.0,,0.87
e_0,,1.69,1.41,1.63,,,1.13,1.17,1.24,1.55,1.03,0.81,1.3,,1.0,1.05
g_0,2.09,1.72,2.36,1.75,1.77,1.42,0.95,1.08,,1.29,1.05,1.34,0.72,1.15,0.95,
