,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.05,1.85,1.67,1.73,1.64,1.36,0.51,0.66,0.51,0.45,0.44,0.52,0.39,0.29,0.37,0.38
e_1,1.21,1.05,1.74,1.81,1.71,1.57,0.75,0.64,0.65,0.53,0.52,0.58,0.51,0.38,0.38,0.52
d_1,1.9,1.91,1.05,1.74,1.55,1.39,0.64,0.43,0.65,0.64,0.55,0.5,0.46,0.38,0.29,0.44
c_1,1.82,1.65,2.11,1.05,2.05,1.58,0.65,0.62,0.36,0.66,0.46,0.45,0.48,0.42,0.38,0.39
b_1,2.17,2.36,2.31,1.32,1.06,1.99,0.87,0.93,0.63,0.72,0.69,0.59,0.6,0.52,0.49,0.58
a_1,3.1,2.63,2.52,2.61,1.47,1.06,1.13,1.02,0.84,0.84,0.87,0.7,1.1,0.84,0.56,0.72
h_1,5.67,4.11,4.54,5.31,4.39,3.71,1.28,2.05,1.51,1.44,1.4,1.24,1.19,1.33,1.04,1.23
g_1,5.88,5.39,6.04,6.38,5.19,4.44,1.67,1.29,1.66,1.54,1.42,1.68,1.29,0.95,1.39,1.27
d_0,5.8,3.85,7.68,6.91,5.77,5.15,1.99,2.62,1.42,1.5,1.69,1.52,1.61,1.45,1.26,1.39
c_0,7.39,5.55,3.74,8.21,5.84,4.84,2.12,2.19,2.58,1.39,2.11,1.71,1.65,1.44,1.3,1.49
b_0,7.18,5.84,5.13,8.87,8.97,5.38,2.49,2.44,2.17,1.17,1.43,1.62,1.93,1.62,1.55,1.57
f_0,9.89,6.64,6.27,7.47,6.84,6.51,2.83,1.79,2.31,1.82,2.35,1.44,1.9,1.69,1.15,2.37
a_0,8.98,6.9,7.61,7.99,9.62,8.14,3.19,3.2,2.35,2.01,1.49,2.28,1.46,1.79,1.66,1.74
h_0,9.72,7.96,7.83,8.09,7.81,5.25,3.38,3.18,2.43,2.36,2.03,2.09,2.12,2.13,1.69,1.82
g_0,10.53,9.55,9.6,9.94,8.96,8.37,2.93,3.15,2.92,2.79,2.65,2.86,2.52,1.85,2.37,2.25
e_0,12.33,10.06,8.89,11.3,8.77,8.22,3.29,3.54,2.65,2.42,2.85,1.35,2.76,2.28,1.83,1.54
