,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,1.19,1.1,1.04,1.05,0.95,0.23,0.33,0.24,0.21,0.23,0.33,0.12,0.19,0.18,0.19
e_1,0.67,0.43,1.34,1.24,1.19,1.21,0.34,0.37,0.28,0.27,0.27,0.33,0.18,0.28,0.21,0.31
d_1,1.22,1.39,0.41,1.41,1.29,1.01,0.3,0.22,0.4,0.2,0.22,0.21,0.16,0.23,0.11,0.24
c_1,1.19,1.02,1.45,0.4,1.25,1.22,0.36,0.35,0.15,0.36,0.25,0.25,0.19,0.25,0.18,0.21
b_1,1.48,1.24,1.41,0.77,0.38,1.26,0.47,0.41,0.32,0.45,0.53,0.29,0.21,0.29,0.22,0.32
a_1,1.87,1.52,1.77,1.41,0.8,0.33,0.58,0.47,0.35,0.43,0.44,0.34,0.26,0.55,0.24,0.34
h_1,2.38,2.11,1.88,2.19,2.17,1.91,0.31,0.62,0.5,0.38,0.4,0.43,0.44,0.35,0.37,0.4
g_1,2.29,2.7,2.13,2.38,2.42,2.1,0.5,0.28,0.62,0.47,0.51,0.48,0.29,0.46,0.49,0.45
d_0,2.56,1.38,3.17,2.69,2.51,2.3,0.68,0.77,0.34,0.5,0.55,0.5,0.45,0.57,0.42,0.56
c_0,3.16,2.66,1.47,3.79,2.85,2.07,0.69,0.7,0.73,0.31,0.55,0.45,0.42,0.51,0.36,0.51
b_0,2.91,2.41,1.91,3.9,3.7,2.25,0.7,0.71,0.52,0.27,0.3,0.45,0.37,0.49,0.32,0.43
f_0,3.63,2.72,2.73,2.61,2.48,2.63,0.85,0.52,0.6,0.54,0.58,0.29,0.38,0.53,0.23,0.52
h_0,3.15,3.25,2.69,2.84,2.37,2.26,1.25,0.92,0.66,0.53,0.59,0.58,0.58,0.5,0.41,0.45
a_0,3.08,3.66,2.65,3.07,3.96,4.49,0.79,0.81,0.75,0.47,0.34,0.58,0.38,0.29,0.42,0.46
g_0,3.86,3.08,3.24,3.67,2.84,3.17,0.73,1.25,0.81,0.59,0.65,0.59,0.36,0.67,0.53,0.59
e_0,5.38,4.0,3.02,3.12,3.36,3.8,0.84,0.98,0.63,0.57,0.6,0.31,0.5,0.52,0.37,0.28
