,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.81,0.93,1.09,0.91,0.72,0.51,0.45,0.56,0.38,0.38,0.41,0.36,0.33,0.31,0.32
f_1,1.22,1.0,0.9,0.97,0.83,0.63,0.45,0.44,0.43,0.38,0.38,0.36,0.28,0.3,0.3,0.25
d_1,1.08,1.14,1.0,0.88,0.92,0.73,0.52,0.41,0.45,0.55,0.44,0.41,0.37,0.27,0.35,0.31
c_1,0.92,1.02,1.14,1.0,1.19,0.78,0.5,0.49,0.36,0.4,0.33,0.38,0.39,0.32,0.3,0.29
b_1,1.08,1.19,1.09,0.85,1.0,1.07,0.58,0.49,0.47,0.52,0.41,0.41,0.41,0.36,0.3,0.37
a_1,1.4,1.59,1.31,1.24,0.96,1.0,0.74,0.65,0.64,0.53,0.54,0.47,0.51,0.49,0.43,0.42
h_1,1.96,2.21,1.9,1.97,1.76,1.32,1.0,0.99,0.82,0.76,0.75,0.8,0.67,0.73,0.65,0.61
g_1,2.27,2.25,2.47,2.08,2.03,1.63,1.01,1.0,0.86,0.94,0.89,1.01,0.73,0.72,0.78,0.77
d_0,1.81,2.22,2.33,2.75,2.13,1.62,1.2,1.11,1.0,0.82,0.93,0.88,0.85,0.78,0.7,0.78
c_0,2.53,2.62,1.9,2.49,1.88,1.79,1.33,1.04,1.21,1.0,1.36,0.9,0.89,0.81,0.85,0.77
b_0,2.75,2.66,2.26,2.99,2.56,1.77,1.34,1.16,1.1,0.79,1.0,0.96,0.96,0.85,1.08,0.81
f_0,2.36,2.7,2.46,2.69,2.43,2.13,1.23,0.98,1.18,1.09,1.07,1.0,0.96,0.79,0.9,1.08
h_0,3.0,3.5,2.71,2.57,2.35,1.91,1.47,1.41,1.17,1.14,1.0,1.03,1.0,0.98,0.82,0.84
g_0,3.16,3.27,3.64,3.01,2.7,2.05,1.38,1.36,1.29,1.22,1.12,1.33,1.05,1.0,1.02,0.92
a_0,3.41,3.3,2.84,3.22,3.2,2.43,1.56,1.27,1.42,1.22,0.93,1.08,1.21,0.99,1.0,0.93
e_0,3.08,3.55,3.11,3.49,2.85,2.24,1.63,1.29,1.35,1.3,1.27,0.98,1.17,1.0,1.08,1.0
