,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.25,0.91,0.94,0.84,0.73,0.57,0.62,0.62,0.6,0.61,0.6,0.5,0.51,0.45,0.62
e_1,0.81,1.0,1.22,0.89,0.92,0.87,0.72,0.9,0.7,0.61,0.73,0.61,0.66,0.61,0.63,0.53
c_1,1.1,0.81,1.0,1.12,1.31,0.82,0.64,0.48,0.68,0.53,0.61,0.52,0.6,0.51,0.53,0.6
d_1,1.06,1.12,0.87,1.0,0.93,0.85,0.75,0.71,0.57,0.9,0.69,0.72,0.63,0.57,0.54,0.47
b_1,1.19,1.08,0.79,1.08,1.0,1.32,0.78,0.73,0.79,0.73,0.63,0.64,0.69,0.6,0.63,0.63
a_1,1.34,1.16,1.21,1.19,0.76,1.0,0.89,0.82,0.79,0.79,0.68,0.79,0.73,0.67,0.76,0.66
h_1,1.75,1.39,1.56,1.34,1.29,1.11,1.0,0.83,1.09,0.85,0.84,0.93,0.79,0.7,0.78,0.89
d_0,1.53,1.13,2.11,1.49,1.38,1.2,1.18,1.0,1.06,0.9,1.04,1.03,0.89,0.78,0.81,1.09
g_1,1.58,1.41,1.39,1.73,1.37,1.25,0.91,0.94,1.0,0.83,1.18,0.91,0.81,0.89,0.95,0.81
c_0,1.66,1.63,1.74,1.13,1.45,1.32,1.18,1.11,1.19,1.0,0.99,1.5,1.0,0.99,1.03,0.88
f_0,1.72,1.31,1.61,1.49,1.56,1.46,1.22,1.02,0.84,1.02,1.0,1.01,0.95,1.29,0.89,0.76
b_0,1.74,1.64,2.07,1.39,1.53,1.2,1.15,0.98,1.08,0.67,0.94,1.0,0.93,0.86,1.21,0.92
h_0,1.98,1.59,1.6,1.58,1.47,1.37,1.27,1.08,1.19,0.99,0.96,1.04,1.0,0.9,0.87,1.01
e_0,2.04,1.66,1.89,1.64,1.8,1.46,1.45,1.25,1.15,1.01,0.81,1.13,1.11,1.0,1.07,1.01
a_0,2.15,1.69,1.89,1.72,1.72,1.22,1.32,1.18,1.09,0.94,1.14,0.82,1.14,0.94,1.0,1.04
g_0,1.56,1.84,1.72,2.07,1.62,1.58,1.1,0.95,1.17,1.17,1.31,1.13,0.95,0.97,0.89,1.0
