,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,94.16,47.28,62.97,109.36,131.06,514.4,8742.71,16750.44,34010.68,22971.01,31607.02,37831.74,100355.23,89599.86,102962.12,175813.91
f_1,69.03,100.52,67.24,89.95,117.44,353.88,6626.29,14114.89,19923.28,20819.09,33262.62,23549.57,84006.64,81645.13,97869.54,198571.14
d_1,45.43,50.21,140.58,56.25,82.39,371.4,7451.7,12835.45,11625.47,33847.08,32069.36,32452.77,85409.76,91525.57,132425.72,132197.3
c_1,34.65,41.54,70.78,155.32,150.76,309.96,6634.88,12459.56,12311.42,8847.89,22360.55,31986.77,68813.46,74642.25,125775.23,137716.05
b_1,32.36,36.46,68.98,64.52,195.62,590.19,5514.11,14544.23,13653.38,15270.15,15027.63,27817.58,65656.29,56663.11,105197.73,129157.22
a_1,21.41,29.59,41.56,45.05,43.53,602.72,4166.74,8040.67,9057.22,12163.9,16485.44,20253.88,51581.86,28709.56,61713.63,96945.0
h_1,10.17,16.99,20.01,22.11,29.18,116.91,3133.88,5320.91,3768.03,5175.11,7789.39,8603.07,18331.68,23337.81,31460.56,55877.42
g_1,8.29,10.18,21.89,17.63,17.67,82.77,1476.87,5700.89,3219.65,4443.22,6167.25,9893.26,16098.99,16685.68,33723.73,30099.34
d_0,7.39,10.16,10.87,28.61,26.25,80.66,1804.85,3617.14,5176.18,3585.04,6150.04,7183.61,17165.13,19971.31,24720.7,34842.68
c_0,8.82,10.98,13.08,17.18,18.99,75.01,1709.97,3160.08,3751.83,5904.44,9882.0,6887.37,18176.36,21541.95,29409.13,35908.54
b_0,8.63,9.25,13.05,15.91,14.6,66.39,1408.25,3111.81,3273.79,3198.99,7693.56,5111.68,16366.98,29551.08,21588.22,33313.35
f_0,6.52,7.61,15.5,13.75,18.54,71.19,1351.54,2459.97,3004.92,3898.55,5923.29,8723.92,16324.29,15810.5,39679.51,28600.64
h_0,5.74,8.49,9.52,11.55,15.59,43.35,766.31,2633.38,2556.29,2829.51,3558.45,4209.46,8803.81,9588.27,15524.91,30535.84
a_0,6.05,6.73,9.71,9.72,13.54,46.18,909.08,2254.33,2008.58,2872.56,3068.47,3695.74,12835.32,18369.93,17612.9,22003.48
e_0,3.6,7.25,7.4,8.62,12.87,49.6,1021.44,1674.1,2023.06,2519.33,3947.98,2746.65,11208.42,9357.76,23457.83,18793.58
g_0,4.89,4.63,10.73,9.18,10.97,39.76,779.36,1571.59,1784.74,2072.1,3091.47,4466.27,7994.65,10271.66,14908.59,15263.14
