,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.43,1.87,1.24,1.24,1.05,1.01,2.06,2.44,2.47,2.44,1.67,2.51,2.25,3.39,2.14,3.42
e_1,1.09,2.43,0.99,1.55,1.36,1.27,2.49,4.38,2.43,2.69,2.95,2.76,2.99,3.55,1.91,3.16
d_1,1.31,1.44,2.55,0.97,1.01,1.3,2.41,1.93,2.0,4.44,2.79,2.99,2.59,3.21,3.12,3.0
c_1,1.21,0.98,1.27,2.59,1.96,1.19,2.25,2.36,2.31,1.59,2.64,2.19,2.7,3.14,2.93,3.52
b_1,1.38,1.03,1.38,1.0,2.72,2.03,2.29,2.56,2.3,2.4,3.09,1.59,2.5,3.4,2.88,3.48
a_1,1.46,1.21,1.2,1.27,1.05,3.33,2.62,3.02,2.39,2.65,2.79,3.38,2.65,3.19,2.58,3.01
h_1,1.68,1.33,1.34,1.41,1.27,1.14,3.99,2.72,3.38,2.87,2.7,2.74,2.99,3.19,2.66,4.62
d_0,1.42,1.02,1.11,2.43,1.4,1.05,2.76,3.99,2.49,2.35,2.71,3.26,3.02,3.62,3.1,4.39
g_1,1.1,1.26,2.13,1.26,1.31,1.23,2.28,2.62,4.53,2.54,3.65,3.24,2.96,3.41,3.29,3.12
c_0,1.63,1.32,1.2,1.03,1.22,1.26,3.01,2.91,3.09,4.08,3.22,5.27,4.16,4.14,3.25,4.02
f_0,1.12,1.17,1.5,1.56,1.26,1.33,2.81,3.14,2.75,3.0,4.41,3.51,3.68,3.87,5.89,3.13
b_0,1.45,1.37,1.5,1.58,1.19,0.8,2.79,2.75,2.7,2.5,2.95,4.47,6.28,3.9,3.04,3.73
a_0,1.45,1.34,1.63,1.36,1.5,0.73,2.93,3.07,2.84,2.75,3.13,2.36,4.84,3.88,3.12,3.78
h_0,1.73,1.22,1.53,1.51,1.24,1.19,1.95,2.81,3.02,2.79,2.69,2.84,2.83,2.6,3.07,4.49
e_0,1.45,0.96,1.45,1.57,1.55,1.55,2.76,2.66,2.61,2.84,2.62,3.1,3.32,3.82,4.98,3.59
g_0,1.23,1.26,1.93,1.43,1.04,1.35,2.57,2.54,2.18,2.69,4.87,2.96,3.11,3.36,3.36,3.0
