,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.88,0.09,0.07,0.1,0.07,0.05,0.08,0.16,0.06,0.07,0.08,0.06,0.04,0.07,0.01,0.07
f_1,0.17,0.88,0.09,0.07,0.07,0.03,0.07,0.06,0.05,0.08,0.06,0.01,0.05,0.07,0.03,0.05
d_1,0.1,0.08,0.88,0.07,0.06,0.04,0.09,0.02,0.06,0.15,0.07,0.06,0.05,0.08,0.06,0.06
c_1,0.08,0.09,0.08,0.87,0.12,0.06,0.07,0.08,0.05,0.01,0.06,0.05,0.05,0.08,0.05,0.08
b_1,0.07,0.09,0.1,0.08,0.87,0.08,0.07,0.08,0.06,0.06,0.01,0.06,0.04,0.07,0.05,0.04
a_1,0.1,0.1,0.07,0.1,0.07,0.87,0.09,0.06,0.06,0.08,0.08,0.07,0.01,0.06,0.05,0.05
h_1,0.16,0.25,0.14,0.12,0.11,0.07,0.53,0.11,0.11,0.1,0.1,0.1,0.09,0.04,0.08,0.11
d_0,0.18,0.16,0.05,0.28,0.11,0.08,0.13,0.37,0.12,0.1,0.14,0.11,0.08,0.14,0.07,0.1
g_1,0.15,0.13,0.22,0.15,0.09,0.06,0.14,0.13,0.52,0.15,0.12,0.17,0.1,0.14,0.09,0.05
c_0,0.17,0.19,0.19,0.06,0.08,0.07,0.18,0.14,0.12,0.37,0.24,0.14,0.1,0.14,0.09,0.12
b_0,0.17,0.22,0.15,0.15,,0.08,0.19,0.15,0.12,0.11,0.37,0.14,0.17,0.12,0.08,0.1
f_0,0.11,0.05,0.21,0.18,0.11,0.08,0.17,0.16,0.13,0.15,0.13,0.37,0.13,0.15,0.19,0.14
a_0,0.21,0.17,0.17,0.14,0.12,,0.15,0.12,0.12,0.14,0.08,0.12,0.38,0.13,0.07,0.07
h_0,0.17,0.23,0.15,0.13,0.09,0.08,0.06,0.13,0.14,0.12,0.11,0.12,0.09,0.04,0.08,0.15
e_0,0.04,0.17,0.2,0.13,0.14,0.11,0.14,0.14,0.13,0.13,0.15,0.12,0.08,0.15,0.34,0.12
g_0,0.15,0.15,0.25,0.13,0.14,0.07,0.12,0.09,0.04,0.1,0.11,0.18,0.07,0.11,0.08,0.04
