,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.41,0.98,0.74,0.92,0.86,0.71,0.39,0.38,0.42,0.61,0.44,0.59,0.35,0.27,0.34,0.37
e_1,0.55,0.41,0.97,0.97,0.94,1.15,0.47,0.41,0.48,0.57,0.42,0.48,0.43,0.35,0.72,0.37
d_1,1.06,0.94,0.38,0.88,0.79,0.77,0.49,0.4,0.61,0.31,0.38,0.42,0.38,0.34,0.43,0.26
c_1,0.93,0.77,1.07,0.38,1.06,0.76,0.44,0.51,0.23,0.43,0.35,0.38,0.4,0.32,0.39,0.27
b_1,0.89,0.92,0.93,0.53,0.37,1.17,0.57,0.47,0.41,0.54,0.71,0.34,0.36,0.41,0.34,0.43
a_1,1.1,0.82,0.98,1.09,0.51,0.32,0.54,0.42,0.45,0.49,0.4,0.38,0.54,0.32,0.47,0.34
h_1,0.87,0.75,0.72,0.83,0.9,0.67,0.25,0.35,0.39,0.44,0.35,0.33,0.32,0.44,0.32,0.3
c_0,0.78,0.86,0.48,1.28,0.83,0.82,0.44,0.26,0.46,0.46,0.46,0.36,0.4,0.29,0.33,0.29
d_0,0.83,0.47,1.39,0.98,0.84,0.82,0.39,0.37,0.27,0.46,0.38,0.39,0.33,0.28,0.38,0.33
g_1,0.73,0.69,0.95,0.84,0.79,0.71,0.37,0.31,0.37,0.23,0.34,0.4,0.37,0.26,0.34,0.42
b_0,0.72,0.72,0.66,1.09,1.14,0.76,0.38,0.23,0.41,0.46,0.25,0.38,0.46,0.31,0.32,0.31
f_0,1.19,0.7,0.74,0.71,0.96,0.82,0.42,0.38,0.36,0.28,0.33,0.23,0.41,0.31,0.42,0.2
a_0,0.87,0.75,0.64,0.8,0.97,1.25,0.41,0.3,0.46,0.36,0.21,0.37,0.22,0.32,0.36,0.35
h_0,0.95,0.71,0.72,0.94,0.68,0.74,0.53,0.34,0.38,0.39,0.36,0.33,0.31,0.39,0.3,0.33
e_0,1.22,1.11,0.66,0.79,0.71,0.67,0.42,0.35,0.37,0.4,0.39,0.19,0.4,0.28,0.2,0.29
g_0,0.89,0.75,0.76,1.01,0.65,0.68,0.34,0.32,0.39,0.45,0.31,0.35,0.32,0.24,0.3,0.4
