,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.12,0.61,0.81,0.99,0.72,0.71,1.01,0.83,0.89,1.71,0.99,1.01,0.98,0.9,0.62,0.86
d_1,0.79,2.22,0.76,0.6,0.68,0.69,1.05,0.98,1.82,0.47,1.1,1.15,1.0,1.18,1.09,1.05
f_1,1.3,0.74,2.14,0.67,0.61,0.59,0.93,0.92,0.92,0.94,0.6,0.94,0.82,1.09,0.6,0.87
c_1,0.59,0.73,0.78,2.34,1.38,0.71,0.88,0.76,0.55,0.85,0.93,0.6,1.04,0.75,0.95,1.04
b_1,0.68,0.7,0.72,0.75,2.42,1.47,0.9,0.95,0.69,0.91,0.89,0.51,1.11,0.73,1.04,0.98
a_1,0.77,0.87,0.78,0.86,0.7,3.22,0.83,1.04,0.75,0.97,0.95,1.07,0.93,0.68,1.23,0.82
h_1,0.76,0.93,1.11,0.85,0.75,0.64,1.9,1.3,1.0,0.94,1.09,1.2,0.81,0.94,1.07,1.38
g_1,0.73,1.35,0.75,0.66,0.71,0.82,1.05,2.42,1.23,0.87,1.67,1.28,0.96,0.98,1.23,0.91
c_0,0.83,1.07,0.92,0.53,0.69,0.74,1.19,1.18,1.8,1.0,1.19,2.21,1.01,1.47,1.06,1.17
d_0,0.73,0.57,0.86,1.62,0.89,0.67,1.0,0.86,0.64,1.82,1.0,0.97,1.1,1.01,0.96,1.04
f_0,0.65,0.9,0.78,0.83,0.93,0.71,1.16,1.33,1.2,1.01,2.05,1.26,1.26,1.08,2.45,1.21
b_0,0.78,1.11,0.94,0.91,0.54,0.48,1.09,1.07,1.06,0.96,1.14,2.04,1.28,2.44,1.16,1.18
h_0,0.7,0.94,1.13,0.97,0.77,0.79,0.73,1.52,0.93,1.03,1.04,1.14,0.83,1.15,1.05,1.55
a_0,0.73,0.96,0.98,0.9,0.76,0.5,1.15,1.12,1.1,1.06,1.15,1.31,1.35,2.45,1.24,1.38
e_0,0.61,0.97,0.97,0.82,0.79,0.79,1.23,1.13,1.15,0.95,1.17,1.27,1.36,1.07,2.51,1.27
g_0,0.64,1.33,0.71,0.98,0.8,0.78,0.96,0.82,1.03,0.85,1.59,1.21,1.09,0.93,1.25,0.77
