,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,105.4,53.21,88.87,65.19,91.47,370.03,10073.3,25552.69,19174.49,19518.44,35901.07,50443.14,93929.23,117145.63,109754.91,209637.31
f_1,79.71,112.57,61.89,64.99,77.16,387.19,7412.98,15287.36,19993.92,19208.84,36260.0,26310.38,78283.42,88368.55,117493.39,190801.79
c_1,38.83,54.58,135.51,77.35,115.71,296.31,7790.71,11030.43,12225.29,18736.66,26840.58,38030.48,65768.7,101063.61,129103.16,163713.92
d_1,48.27,57.55,50.44,139.54,79.92,308.03,8852.66,9755.31,29181.59,20393.82,40527.21,38979.34,86825.91,107542.18,144385.49,145706.01
b_1,43.67,49.5,63.61,63.82,161.13,456.39,7884.27,12768.28,18016.9,16614.82,18585.32,32370.52,59159.5,94764.62,119638.08,166270.66
a_1,28.31,29.54,42.03,42.43,40.8,521.98,5501.78,9209.52,10778.09,12188.02,20119.9,21874.22,45088.18,61599.98,89663.73,130787.34
h_1,11.74,19.38,16.26,19.31,21.43,79.53,3605.8,3764.68,5169.52,7007.37,9649.61,10498.51,22277.74,22471.26,37131.51,54452.18
d_0,9.31,12.97,26.23,13.87,20.38,65.47,1784.98,4725.97,4010.48,5025.22,6438.25,8411.76,18623.68,24132.81,27711.06,38217.81
c_0,10.57,12.44,11.66,13.98,14.32,70.17,1885.26,3159.87,5843.5,4938.82,12102.07,9752.55,19853.35,22283.78,24053.15,36043.31
g_1,9.57,9.33,14.13,18.79,16.3,60.04,1396.47,2199.98,3865.82,7360.09,6471.79,11426.41,17280.17,18926.04,31624.34,23892.45
b_0,7.97,9.67,12.57,12.13,12.04,65.59,1555.68,2789.28,3508.18,3944.28,9102.52,7477.84,25090.45,16635.55,24801.68,33367.05
f_0,6.47,8.19,12.18,11.91,14.83,58.46,1573.2,2666.0,3355.7,3149.08,6667.94,10417.15,15481.11,21922.46,38497.76,24991.13
a_0,6.31,7.55,10.24,9.51,10.49,36.53,1189.44,2148.13,2937.99,2422.98,4029.31,4929.68,17117.64,13792.27,19711.72,21090.76
h_0,6.15,9.03,8.4,9.57,10.15,40.27,759.29,1854.99,2790.02,3462.95,4678.22,4590.72,9735.24,12361.14,17860.95,28664.72
e_0,4.42,7.02,6.9,8.58,9.81,32.25,1048.19,1717.11,2714.76,2591.5,4293.44,3824.92,9847.97,13249.54,25336.38,22148.71
g_0,4.69,5.58,6.88,11.71,8.58,34.27,843.02,1361.88,2446.66,1961.73,3313.62,6207.09,8783.21,10359.63,14483.37,16840.9
