,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,98.76,85.54,51.31,94.24,87.87,346.97,6717.44,12608.03,16011.37,21322.66,15477.94,26637.82,89056.55,53427.93,95844.62,192965.06
e_1,40.95,109.62,52.33,108.89,82.99,428.0,7621.98,13880.28,15216.02,39681.32,31563.0,29004.93,93891.08,68855.8,101974.41,197334.16
d_1,47.04,45.64,113.55,79.68,105.31,416.37,7091.45,10347.45,29094.36,12695.73,26110.96,26973.98,87018.42,88447.52,84973.36,165074.02
c_1,37.87,37.6,43.14,175.92,132.79,327.27,5497.39,10412.56,7526.37,16029.92,18957.77,18316.98,72154.09,63729.56,70279.62,140830.6
b_1,42.04,38.31,46.89,54.52,185.9,516.92,5632.98,10178.63,12823.48,19072.61,21530.35,13419.45,80504.83,65182.26,64412.18,136086.22
a_1,27.01,20.19,27.69,49.22,39.39,618.85,4142.02,5985.21,10327.45,11416.22,11539.36,14238.81,50462.18,52236.57,39309.31,95565.77
h_1,14.89,12.26,13.95,25.71,24.32,96.76,3126.66,3673.74,4088.38,5356.9,7084.14,6249.27,18303.52,17123.05,27098.37,67199.01
g_1,8.53,9.57,16.57,18.91,20.93,84.95,1481.5,4980.12,3030.02,4189.63,8170.8,5625.71,17901.17,16588.46,20457.23,32172.89
c_0,9.94,12.03,9.6,15.39,16.14,74.59,1488.96,2930.09,5137.21,5704.1,5575.07,9226.41,19978.54,19253.94,25163.24,42236.86
d_0,9.07,7.96,7.79,29.26,17.17,65.42,1465.61,2385.76,2147.43,6319.29,4145.66,4551.14,18052.51,17394.91,18029.24,36222.49
f_0,6.15,7.05,11.1,19.81,18.56,73.65,1278.16,2047.04,3255.23,4751.67,7047.43,4943.5,20014.33,30963.59,19397.05,32224.61
b_0,8.25,9.11,9.19,19.32,13.15,66.49,1485.98,2443.09,2545.18,4710.54,4903.86,6840.02,20333.93,16021.42,32958.58,35533.9
h_0,7.01,7.03,6.95,13.25,9.29,42.67,684.08,1978.32,2260.86,2950.99,3038.63,3022.84,8615.53,8782.61,13008.38,25680.29
e_0,7.8,4.01,6.75,10.86,12.01,50.77,1116.97,1637.68,2084.62,2500.76,1928.77,3226.04,14820.53,18125.95,13385.66,23062.95
a_0,5.83,4.86,7.01,11.24,12.04,28.55,915.39,1634.97,2182.48,2479.99,3082.04,2681.69,11872.38,10698.74,19737.61,27026.01
g_0,3.79,4.58,7.42,10.16,9.04,40.05,582.08,1031.5,1867.97,2065.13,3502.16,2879.81,9831.07,9308.14,9460.95,14128.37
