,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.35,1.02,1.27,1.43,2.23,15.14,23.02,25.31,29.99,30.67,35.85,59.02,63.19,61.96,109.52
e_1,0.74,1.0,1.23,1.45,1.48,3.08,17.61,23.3,34.57,29.72,30.0,45.29,67.79,79.71,92.45,114.0
d_1,0.96,0.82,1.0,0.94,1.13,1.92,14.6,23.65,18.05,15.72,24.12,33.38,57.09,64.79,75.06,77.83
c_1,0.79,0.69,1.06,1.0,1.62,1.84,12.65,15.77,13.16,18.09,18.14,31.48,49.53,53.09,63.55,68.8
b_1,0.69,0.68,0.89,0.62,1.0,2.81,12.03,17.04,16.75,18.91,20.46,23.25,38.29,60.85,53.79,92.39
a_1,0.45,0.32,0.52,0.55,0.36,1.0,7.49,8.7,9.74,10.04,10.83,13.78,22.68,29.79,35.56,42.75
h_1,0.07,0.06,0.07,0.08,0.09,0.13,1.0,1.33,1.5,1.53,1.66,2.08,3.7,4.78,4.44,7.36
c_0,0.04,0.04,0.04,0.06,0.06,0.11,0.77,1.0,1.15,1.16,1.73,1.63,3.29,3.27,3.4,4.75
d_0,0.04,0.03,0.06,0.08,0.06,0.1,0.66,0.84,1.0,1.06,1.11,1.63,2.55,3.04,3.33,4.82
g_1,0.04,0.03,0.06,0.05,0.05,0.1,0.65,0.84,0.95,1.0,1.08,1.93,2.65,2.74,3.23,4.7
b_0,0.03,0.03,0.04,0.06,0.05,0.09,0.59,0.62,0.94,0.93,1.0,1.48,3.25,2.62,2.73,3.91
f_0,0.03,0.02,0.03,0.03,0.04,0.07,0.48,0.59,0.61,0.49,0.63,1.0,1.85,1.99,3.21,2.39
a_0,0.02,0.02,0.02,0.02,0.02,0.05,0.27,0.31,0.43,0.36,0.31,0.55,1.0,1.31,1.32,1.79
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.2,0.29,0.34,0.36,0.4,0.47,0.77,1.0,1.05,1.67
e_0,0.02,0.01,0.01,0.02,0.02,0.03,0.22,0.29,0.31,0.31,0.39,0.3,0.83,0.95,1.0,1.34
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.2,0.21,0.2,0.24,0.39,0.56,0.57,0.74,1.0
