,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.0,1.61,1.38,1.76,2.38,18.17,28.42,30.97,29.79,42.2,38.12,49.44,90.67,77.54,122.71
d_1,1.0,1.0,0.9,1.05,1.31,2.55,20.22,20.29,22.59,45.48,32.43,45.04,65.66,86.36,98.39,85.94
e_1,0.62,1.12,1.0,1.25,1.5,3.07,15.68,37.83,28.82,25.61,36.4,47.73,71.35,73.48,115.47,115.25
c_1,0.72,0.95,0.8,1.0,1.76,2.51,11.55,14.48,25.41,22.0,25.04,37.52,56.61,70.14,65.27,90.93
b_1,0.57,0.76,0.67,0.57,1.0,2.49,13.75,17.56,16.07,20.3,21.94,27.19,48.44,53.34,80.93,75.27
a_1,0.42,0.39,0.33,0.4,0.4,1.0,6.48,9.34,11.23,10.6,11.99,16.81,23.77,26.29,41.45,34.09
h_1,0.05,0.05,0.06,0.09,0.08,0.16,1.0,1.28,1.79,1.65,2.11,2.73,3.94,4.45,5.6,6.77
d_0,0.03,0.05,0.03,0.07,0.06,0.12,0.8,1.0,0.79,0.99,1.49,1.7,2.4,2.81,4.02,4.51
g_1,0.03,0.05,0.03,0.04,0.06,0.09,0.57,1.21,1.0,1.02,1.48,2.26,2.35,3.41,4.36,3.99
c_0,0.04,0.02,0.04,0.05,0.05,0.08,0.62,1.03,0.98,1.0,1.86,1.59,2.79,2.67,3.36,3.48
b_0,0.02,0.03,0.03,0.04,0.04,0.08,0.47,0.65,0.69,0.54,1.0,1.16,1.91,3.18,3.14,2.59
f_0,0.03,0.02,0.02,0.03,0.04,0.06,0.36,0.6,0.46,0.64,0.82,1.0,1.29,1.94,3.12,1.7
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.26,0.42,0.43,0.38,0.53,0.77,1.0,1.04,1.51,2.17
a_0,0.01,0.01,0.01,0.01,0.02,,0.22,0.35,0.3,0.41,0.31,0.59,0.94,1.0,0.96,1.22
e_0,0.01,0.01,0.01,0.02,0.01,0.02,0.18,0.26,0.23,0.31,0.33,0.35,0.67,1.14,1.0,0.96
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.22,0.25,0.28,0.39,0.58,0.44,0.76,1.02,1.0
