,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.05,1.83,1.62,1.39,1.59,1.31,0.51,0.54,0.47,0.61,0.43,0.51,0.29,0.38,0.36,0.39
e_1,1.2,1.05,2.08,1.58,1.6,1.58,0.62,0.62,0.51,0.62,0.51,0.6,0.43,0.54,0.45,0.37
c_1,1.98,1.46,1.05,2.17,2.21,1.64,0.73,0.38,0.59,0.57,0.45,0.48,0.43,0.45,0.42,0.39
d_1,2.08,2.14,1.86,1.05,1.77,1.42,0.62,0.8,0.58,0.49,0.59,0.5,0.45,0.39,0.46,0.27
b_1,2.33,2.32,1.25,2.13,1.05,2.16,0.81,0.59,0.74,0.79,0.82,0.6,0.52,0.46,0.49,0.45
a_1,3.05,2.9,2.44,3.01,1.43,1.06,1.17,0.95,0.89,0.97,1.2,0.77,0.6,0.75,1.19,0.64
h_1,5.4,5.31,4.97,5.1,4.45,3.39,1.28,1.54,1.31,1.95,1.35,1.42,1.26,1.24,1.35,1.14
d_0,5.32,3.65,6.51,6.09,5.69,4.16,2.23,1.41,1.6,2.02,1.6,1.63,1.3,1.45,1.33,1.4
c_0,6.92,6.35,8.22,3.93,5.69,4.56,2.43,2.24,1.41,2.23,2.19,1.69,1.33,1.51,1.57,1.19
g_1,6.44,6.05,6.18,6.33,5.52,4.49,1.75,1.86,1.71,1.3,1.68,1.7,1.07,1.58,1.82,1.24
b_0,7.16,6.0,9.47,5.39,7.98,4.88,2.39,2.3,1.17,2.3,1.4,1.71,1.48,1.83,1.75,1.35
f_0,9.21,6.74,6.84,7.1,6.36,4.81,2.48,2.12,2.06,1.77,2.07,1.4,1.56,1.87,1.75,1.01
h_0,8.84,7.18,7.94,7.05,7.38,6.4,3.61,2.57,2.27,2.93,2.18,2.3,2.08,1.91,1.78,1.96
e_0,12.75,10.19,8.14,9.72,8.35,7.76,3.38,2.5,2.76,2.77,2.46,1.61,2.2,1.57,2.2,1.79
a_0,10.58,8.66,11.87,8.57,12.15,8.22,3.35,3.02,2.35,3.17,1.56,2.36,2.14,2.46,1.5,1.76
g_0,9.86,10.37,10.9,10.26,8.93,8.29,3.08,3.04,2.68,4.59,2.78,2.94,1.7,2.21,2.5,2.36
