,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.74,0.82,0.98,0.85,0.72,0.55,0.53,0.4,0.38,0.43,0.41,0.36,0.3,0.38,0.37
f_1,1.34,1.0,0.91,0.84,0.78,0.68,0.41,0.4,0.39,0.41,0.39,0.34,0.26,0.31,0.29,0.2
d_1,1.22,1.1,1.0,0.89,0.78,0.73,0.53,0.35,0.56,0.37,0.41,0.39,0.38,0.28,0.27,0.31
c_1,1.02,1.18,1.12,1.0,1.33,0.72,0.57,0.36,0.37,0.39,0.38,0.39,0.31,0.42,0.33,0.29
b_1,1.17,1.28,1.29,0.75,1.0,1.12,0.57,0.57,0.62,0.55,0.4,0.32,0.43,0.31,0.35,0.38
a_1,1.38,1.46,1.36,1.39,0.9,1.0,0.64,0.71,0.6,0.68,0.61,0.48,0.47,,0.45,0.42
h_1,1.75,2.52,1.91,1.8,1.76,1.5,1.0,0.89,0.76,0.98,0.75,0.84,0.87,0.54,0.72,0.59
d_0,1.84,2.51,2.7,2.94,1.79,1.4,1.1,1.0,0.97,1.04,1.02,0.99,0.86,0.63,0.72,0.73
c_0,2.52,2.66,1.69,2.84,1.73,1.83,1.38,1.15,1.0,0.94,1.35,1.05,0.87,0.89,0.77,0.82
g_1,2.62,2.43,2.7,2.62,1.84,1.44,1.03,0.96,1.05,1.0,1.0,1.08,0.63,0.74,0.68,0.92
b_0,2.25,2.57,2.48,2.72,2.51,1.64,1.35,1.0,0.7,1.01,1.0,0.87,0.95,1.08,0.8,0.92
f_0,2.36,2.81,2.46,2.48,3.1,2.18,1.16,1.08,0.93,0.96,1.06,1.0,1.05,0.78,0.59,1.15
h_0,2.7,3.96,2.71,3.43,2.23,2.19,1.17,1.18,1.13,1.58,1.12,0.91,1.0,0.74,1.02,0.93
a_0,2.92,3.18,3.58,2.52,3.44,,1.8,1.69,1.1,1.38,0.86,1.22,1.27,1.0,0.87,0.92
g_0,2.53,3.48,3.71,2.87,2.89,2.11,1.44,1.36,1.3,,1.27,1.59,1.01,1.25,1.0,1.08
e_0,3.03,5.15,2.96,3.24,2.74,2.26,1.72,1.33,1.28,1.15,1.09,0.86,1.05,1.09,0.92,1.0
