,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.9,0.42,0.21,0.17,0.17,0.1,0.17,0.14,0.17,0.18,0.15,0.09,0.19,0.12,0.13,0.07
e_1,0.26,0.89,0.2,0.25,0.18,0.13,0.18,0.14,0.2,0.36,0.16,0.16,0.19,0.12,0.17,0.06
d_1,0.28,0.2,0.9,0.16,0.17,0.13,0.2,0.2,0.37,0.11,0.2,0.16,0.2,0.12,0.17,0.12
c_1,0.23,0.19,0.22,0.89,0.33,0.1,0.16,0.13,0.07,0.17,0.12,0.17,0.14,0.09,0.16,0.11
b_1,0.21,0.22,0.22,0.2,0.89,0.23,0.21,0.15,0.2,0.17,0.1,0.15,0.21,0.08,0.15,0.1
a_1,0.28,0.21,0.24,0.2,0.17,0.87,0.19,0.16,0.18,0.21,0.22,0.19,0.22,0.07,0.16,0.14
h_1,0.37,0.22,0.32,0.24,0.18,0.14,0.57,0.25,0.25,0.22,0.24,0.18,0.16,0.14,0.29,0.15
g_1,0.2,0.25,0.43,0.24,0.21,0.14,0.22,0.57,0.25,0.18,0.24,0.3,0.21,0.14,0.14,0.14
c_0,0.29,0.26,0.3,0.14,0.18,0.2,0.25,0.23,0.45,0.24,0.43,0.27,0.25,0.18,0.23,0.16
d_0,0.25,0.27,0.16,0.51,0.23,0.13,0.21,0.23,0.17,0.41,0.21,0.2,0.19,0.13,0.18,0.16
b_0,0.3,0.25,0.29,0.24,0.15,0.14,0.26,0.26,0.25,0.23,0.45,0.23,0.26,0.34,0.23,0.18
f_0,0.18,0.19,0.28,0.26,0.23,0.2,0.3,0.21,0.26,0.24,0.26,0.44,0.25,0.18,0.23,0.35
h_0,0.39,0.25,0.3,0.22,0.21,0.15,0.17,0.26,0.23,0.21,0.21,0.21,0.14,0.19,0.27,0.1
a_0,0.3,0.27,0.35,0.23,0.22,0.09,0.27,0.23,0.25,0.21,0.26,0.22,0.28,0.41,0.23,0.15
g_0,0.26,0.23,0.43,0.22,0.2,0.17,0.27,0.16,0.25,0.21,0.22,0.3,0.21,0.16,0.12,0.2
e_0,0.31,0.12,0.33,0.3,0.22,0.15,0.27,0.24,0.24,0.23,0.21,0.24,0.27,0.16,0.19,0.41
