,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,1.16,1.58,1.66,3.03,21.3,40.44,35.02,36.84,46.74,49.02,86.37,98.65,110.33,103.23
f_1,1.24,1.0,1.02,1.27,1.71,3.05,15.87,23.35,32.41,35.29,37.34,46.83,54.04,67.07,87.69,115.19
d_1,0.86,0.98,1.0,1.05,0.97,2.21,18.75,16.98,18.9,33.72,32.64,39.79,55.36,55.65,85.71,65.59
c_1,0.63,0.79,0.95,1.0,1.57,1.9,15.26,12.44,25.65,20.28,31.38,32.68,50.68,59.85,72.75,74.59
b_1,0.6,0.58,1.03,0.64,1.0,3.34,11.89,12.56,20.61,27.58,28.5,29.49,43.75,53.56,55.53,62.36
a_1,0.33,0.33,0.45,0.53,0.3,1.0,7.83,7.12,11.23,9.99,15.46,14.15,30.6,20.52,39.58,39.93
h_1,0.05,0.06,0.06,0.07,0.08,0.13,1.0,1.27,1.44,1.41,2.1,2.04,4.1,3.45,4.78,6.95
d_0,0.02,0.04,0.06,0.08,0.08,0.15,0.8,1.0,1.33,1.12,1.63,1.81,3.32,3.28,4.22,5.16
g_1,0.03,0.03,0.05,0.04,0.05,0.09,0.68,0.76,1.0,1.17,1.1,1.79,2.12,3.14,3.33,2.82
c_0,0.03,0.03,0.03,0.05,0.04,0.09,0.72,0.87,0.93,1.0,1.57,1.38,2.02,2.83,2.38,3.49
b_0,0.02,0.03,0.03,0.04,0.04,0.06,0.51,0.62,0.9,0.62,1.0,1.21,2.1,2.45,2.93,2.96
f_0,0.02,0.02,0.03,0.03,0.04,0.07,0.49,0.59,0.56,0.68,0.77,1.0,1.76,1.64,2.85,2.02
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.25,0.32,0.46,0.49,0.49,0.54,1.0,0.95,0.97,1.74
a_0,0.01,0.02,0.02,0.02,0.02,0.04,0.3,0.29,0.32,0.33,0.41,0.56,1.03,1.0,1.09,1.13
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.23,0.29,0.39,0.34,0.34,0.97,0.89,1.0,1.13
g_0,0.01,0.01,0.02,0.01,0.02,0.02,0.14,0.19,0.32,0.29,0.37,0.49,0.58,0.85,0.91,1.0
