,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,3.36,4.01,4.38,4.58,3.88,0.82,0.84,0.73,1.41,0.73,1.44,0.4,0.73,0.8,0.63
e_1,2.51,1.12,4.22,4.97,4.29,4.29,1.76,1.14,0.92,1.37,1.1,1.5,0.73,0.94,1.8,0.99
d_1,5.24,6.09,1.12,4.89,6.08,3.82,1.29,2.12,1.04,0.82,0.81,0.83,0.69,0.99,0.83,0.41
c_1,5.04,4.67,6.09,1.13,4.64,4.65,1.33,0.6,1.57,1.34,0.88,0.93,0.78,0.94,0.94,0.79
b_1,5.71,5.39,5.36,2.81,1.13,6.85,1.86,1.2,1.68,1.83,3.24,1.1,0.87,1.21,1.1,1.01
a_1,11.55,7.76,9.23,7.56,4.01,1.14,2.44,1.73,1.81,3.22,2.09,1.75,1.01,3.99,1.48,0.98
h_1,16.6,14.2,15.57,16.18,13.49,13.66,1.75,2.86,3.24,4.67,3.11,2.73,4.57,2.61,2.64,2.27
d_0,19.44,10.15,29.53,21.54,20.23,19.34,5.8,2.32,5.43,5.66,3.26,4.91,2.99,3.76,4.47,3.84
c_0,20.15,21.82,9.4,43.37,21.56,19.73,5.57,5.38,2.16,6.53,4.04,3.23,3.42,3.72,3.66,2.7
g_1,20.25,21.31,18.63,23.84,22.21,15.02,3.94,4.07,4.26,1.79,4.55,4.06,2.13,3.8,3.58,4.22
b_0,23.44,18.39,19.2,28.92,35.59,24.72,5.8,4.66,2.52,5.61,2.16,4.35,3.01,4.16,3.4,2.36
f_0,53.72,24.31,20.06,27.16,22.04,23.53,7.7,5.7,5.72,4.18,6.44,2.19,3.98,5.21,5.86,2.45
h_0,27.83,25.51,26.08,32.53,28.96,30.05,15.26,5.75,5.93,7.62,5.85,5.85,6.78,5.75,5.57,4.28
a_0,36.49,32.34,23.89,30.62,53.71,52.78,8.08,6.54,5.02,11.23,3.29,5.99,6.58,2.46,5.4,4.97
e_0,51.57,49.62,33.3,33.58,42.2,30.05,9.47,7.49,7.09,9.41,7.74,3.36,5.79,7.67,2.68,4.45
g_0,44.46,38.53,30.99,35.9,33.95,38.29,8.24,9.39,7.41,14.88,8.55,6.29,4.02,8.15,5.96,7.35
