,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.26,0.87,0.97,0.94,0.86,0.6,0.75,0.55,0.6,0.62,0.53,0.59,0.5,0.39,0.53
e_1,0.8,1.0,1.0,1.07,0.95,0.81,0.7,0.76,0.65,0.92,0.7,0.67,0.59,0.59,0.63,0.54
d_1,1.15,1.0,1.0,1.19,0.82,0.79,0.7,0.55,0.85,0.71,0.58,0.53,0.53,0.53,0.59,0.46
c_1,1.03,0.93,0.84,1.0,1.55,0.8,0.76,0.7,0.66,0.45,0.65,0.67,0.58,0.66,0.57,0.67
b_1,1.06,1.06,1.22,0.64,1.0,1.18,0.91,0.77,0.77,0.7,0.64,0.69,0.62,0.59,0.63,0.52
a_1,1.17,1.23,1.27,1.25,0.85,1.0,0.87,0.66,0.72,0.78,0.89,0.67,,0.78,0.72,0.78
h_1,1.69,1.41,1.47,1.34,1.09,1.16,1.0,1.02,0.87,0.89,0.83,0.93,0.85,1.14,0.84,0.94
g_1,1.34,1.26,1.89,1.49,1.31,1.53,0.99,1.0,1.11,0.92,0.86,1.22,0.77,0.79,1.0,0.92
c_0,1.89,1.57,1.13,1.35,1.29,1.35,1.18,0.87,1.0,1.1,1.42,0.99,0.86,0.95,0.81,0.86
d_0,1.61,1.04,1.6,2.23,1.31,1.39,1.11,1.18,0.88,1.0,0.87,0.95,1.01,0.95,0.98,0.86
b_0,1.67,1.45,1.67,1.61,1.33,1.19,1.22,1.15,0.68,1.17,1.0,0.92,1.25,1.19,1.1,1.02
f_0,1.94,1.44,1.93,1.51,1.36,1.37,1.15,0.85,0.99,1.02,1.11,1.0,0.87,0.92,1.21,0.68
a_0,1.73,1.69,1.78,1.81,1.43,,1.21,1.3,1.15,1.01,0.79,1.12,1.0,1.27,1.23,0.8
h_0,2.02,1.66,1.88,1.56,1.58,1.25,0.88,1.23,1.06,1.02,0.85,1.12,0.82,1.0,0.87,1.1
e_0,2.61,1.67,1.75,1.77,1.58,1.11,1.12,0.99,1.29,1.08,1.07,0.81,0.95,1.12,1.0,1.03
g_0,1.88,1.69,2.17,1.53,1.87,1.28,1.05,1.04,1.22,1.15,1.0,1.4,1.19,0.93,0.99,1.0
