,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.93,0.09,0.11,0.08,0.09,0.07,0.05,0.12,0.06,0.06,0.06,0.05,0.06,0.04,0.06,
f_1,0.18,0.93,0.1,0.09,0.09,0.1,0.08,0.07,0.05,0.08,,0.05,0.05,0.03,0.05,0.04
c_1,0.12,0.1,0.93,0.1,0.15,0.06,0.07,0.06,0.05,,0.07,0.06,0.07,0.03,0.07,0.03
d_1,0.11,0.12,0.09,0.93,0.09,0.07,0.08,,0.06,0.1,0.06,0.05,0.07,0.04,0.06,0.04
b_1,0.12,0.09,0.09,0.11,0.93,0.13,0.08,0.06,0.07,0.06,0.08,,0.08,,0.05,0.04
a_1,0.13,0.09,0.12,0.13,0.09,0.93,0.08,0.07,0.06,0.1,0.07,,0.07,,0.06,
h_1,0.28,0.33,0.3,0.3,0.23,0.19,0.71,0.21,0.2,0.17,0.15,0.15,,0.09,0.16,0.12
d_0,0.31,0.34,0.51,,0.32,0.25,0.26,0.59,0.18,0.19,0.21,0.18,0.17,0.16,0.16,0.14
g_1,0.33,0.26,0.31,0.39,0.25,0.29,0.19,0.2,0.71,0.15,0.21,0.17,0.14,,,
c_0,0.36,0.32,,0.3,0.34,0.16,0.26,0.24,0.19,0.59,0.22,0.36,0.22,0.14,0.17,0.1
f_0,0.34,,0.38,0.34,0.22,0.25,0.32,0.27,0.22,0.21,0.56,0.21,0.29,0.16,0.13,0.26
b_0,0.4,0.4,0.32,0.37,,,0.32,0.26,0.18,0.18,0.2,0.59,0.24,0.27,0.18,
h_0,0.46,0.76,0.39,0.49,0.41,0.27,,0.34,0.37,0.34,0.17,0.27,,0.2,0.29,0.16
a_0,0.41,0.54,0.34,0.41,,,0.35,0.33,,0.25,0.27,0.17,0.26,0.59,0.18,
g_0,0.47,0.52,0.36,0.65,0.57,0.29,0.31,0.3,,0.33,0.43,0.25,0.21,0.22,,0.26
e_0,,0.53,0.43,0.38,0.4,,0.27,0.33,,0.37,0.21,,0.25,,0.19,0.57
