,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.12,2.31,4.88,4.54,4.66,3.59,1.49,1.38,1.15,0.94,1.1,1.01,0.97,0.68,1.83,0.69
f_1,4.21,1.12,4.45,5.11,3.94,4.43,0.86,1.36,0.81,0.81,1.69,0.85,0.72,0.42,0.78,0.79
d_1,4.93,5.42,1.11,4.61,4.97,4.38,1.27,0.9,0.73,1.92,0.76,0.84,0.83,0.6,1.03,0.39
c_1,4.45,4.93,6.99,1.13,4.88,6.04,1.47,1.25,1.63,0.61,0.97,0.97,1.13,0.9,1.06,0.74
b_1,5.52,6.89,5.94,3.0,1.13,6.73,1.9,1.65,1.7,1.31,1.4,3.5,1.53,0.96,1.03,1.05
a_1,8.21,8.53,7.72,8.87,4.24,1.14,2.51,2.95,1.77,2.57,1.82,2.13,4.5,1.27,1.82,1.54
h_1,13.94,16.12,12.18,13.82,14.81,12.92,1.74,5.45,3.01,3.22,2.92,2.74,2.92,3.52,2.83,2.18
g_1,16.01,18.9,16.61,16.75,16.3,15.46,3.71,1.75,3.7,3.22,3.8,3.41,3.44,1.77,4.03,3.65
c_0,18.34,23.43,10.18,49.16,23.15,18.02,5.95,5.41,2.26,5.34,3.85,4.37,5.1,3.24,4.26,2.82
d_0,11.84,20.09,30.19,21.42,23.35,18.36,6.34,6.77,4.65,2.34,3.96,4.27,4.75,3.68,4.41,3.29
f_0,23.32,46.87,20.54,23.07,24.6,19.25,7.23,4.32,4.37,4.65,2.15,4.11,4.65,3.49,4.16,1.96
b_0,23.32,24.58,17.36,34.08,54.02,22.07,5.53,7.09,2.21,4.65,4.89,2.21,4.23,3.61,3.68,3.05
a_0,30.72,28.81,28.0,30.6,43.05,44.64,8.35,9.77,4.98,5.58,5.97,2.95,2.27,4.74,4.03,4.0
h_0,28.84,33.8,33.07,32.6,27.55,22.57,11.89,7.37,5.22,5.68,6.24,5.96,6.04,6.18,5.49,4.48
e_0,53.97,43.4,26.71,34.87,38.26,25.18,8.51,11.39,6.47,6.01,3.07,5.96,6.82,5.1,2.43,3.86
g_0,35.31,43.4,33.38,39.99,39.36,35.07,7.82,12.53,6.47,8.36,7.76,6.69,7.69,4.16,6.65,7.15
