,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,0.96,1.1,0.94,0.79,0.76,0.72,0.62,0.86,0.65,0.73,0.63,0.63,0.64,0.6
f_1,1.24,1.0,0.95,0.99,0.9,0.79,0.57,0.69,0.57,0.64,0.62,0.52,0.56,0.48,0.37,0.53
d_1,1.03,1.06,1.0,0.8,0.96,0.81,0.7,0.6,0.84,0.65,0.65,0.62,0.56,0.56,0.61,0.47
c_1,0.92,1.03,1.24,1.0,1.29,0.86,0.73,0.65,0.54,0.48,0.61,0.62,0.6,0.54,0.6,0.59
b_1,1.05,1.1,1.02,0.78,1.0,1.35,0.92,0.8,0.72,0.7,0.61,0.68,0.53,0.67,0.62,0.59
a_1,1.23,1.26,1.21,1.16,0.75,1.0,0.93,0.93,0.89,0.86,0.85,0.75,0.76,0.89,0.64,0.74
h_1,1.33,1.75,1.43,1.36,1.06,1.05,1.0,1.11,0.9,0.88,0.79,0.81,0.77,0.8,0.75,0.85
g_1,1.4,1.46,1.64,1.52,1.24,1.09,0.9,1.0,0.95,0.93,0.89,1.12,0.82,0.79,0.94,0.82
c_0,1.58,1.73,1.22,1.79,1.39,1.1,1.14,1.07,1.0,1.17,1.34,0.98,0.93,0.96,0.98,0.87
d_0,1.17,1.55,1.43,2.16,1.52,1.15,1.17,1.07,0.87,1.0,1.0,0.95,0.96,0.96,0.98,0.99
b_0,1.46,1.7,1.59,1.71,1.51,1.05,1.28,1.11,0.73,0.95,1.0,0.89,1.31,1.0,0.9,0.87
f_0,1.41,2.01,1.62,1.55,1.42,1.32,1.21,0.92,1.01,1.06,1.16,1.0,1.01,1.08,1.59,0.82
a_0,1.62,1.73,1.66,1.76,1.83,1.37,1.36,1.19,1.08,1.02,0.79,1.05,1.0,1.01,0.99,0.76
h_0,1.54,2.07,1.79,1.76,1.63,1.23,1.29,1.26,1.06,1.03,0.94,0.91,0.97,1.0,0.92,1.04
e_0,1.6,2.59,1.63,1.66,1.77,1.57,1.43,1.05,1.08,1.1,1.12,0.67,1.01,1.09,1.0,0.96
g_0,1.62,1.91,2.03,1.66,1.72,1.41,1.19,1.22,1.15,1.0,1.16,1.31,1.22,0.96,1.03,1.0
