,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.53,1.41,0.96,0.97,0.92,0.7,1.02,1.05,1.23,1.13,1.13,0.98,1.17,0.91,0.72,1.13
e_1,0.97,1.54,1.28,0.91,0.96,0.8,1.2,1.18,1.84,1.14,1.22,1.17,1.28,1.0,0.89,1.31
c_1,1.02,0.88,1.57,1.14,1.41,0.89,1.16,1.09,1.01,0.84,0.87,1.07,1.26,0.96,1.09,1.24
d_1,1.14,1.07,0.87,1.58,0.97,0.83,1.22,0.94,1.0,1.79,1.35,1.14,1.31,1.25,1.06,1.11
b_1,1.12,1.03,0.96,0.99,1.62,1.38,1.22,1.15,1.16,1.3,1.03,1.15,1.25,1.02,1.09,1.18
a_1,1.27,1.16,1.12,1.23,0.9,1.77,1.48,1.13,1.29,1.31,1.37,1.12,1.37,0.98,1.05,1.09
h_1,1.53,1.23,1.28,1.31,1.17,0.86,1.88,1.59,1.42,1.44,1.38,1.27,1.42,1.24,1.31,1.86
g_1,1.29,1.11,1.3,1.78,1.14,1.06,1.36,1.93,1.37,1.51,1.43,1.9,1.56,1.46,1.62,1.46
d_0,1.27,1.08,2.0,1.21,1.36,1.02,1.41,1.43,1.8,1.09,1.36,1.38,1.78,1.21,1.3,1.76
c_0,1.53,1.41,1.24,1.22,1.02,1.17,1.6,1.42,1.64,1.82,2.22,1.43,1.76,1.62,1.44,1.45
b_0,1.53,1.42,1.49,1.33,1.03,0.96,1.6,1.45,1.53,1.38,1.88,1.47,1.86,2.07,1.28,1.67
f_0,1.32,1.14,1.49,1.33,1.24,1.21,1.84,1.35,1.75,1.57,1.46,1.91,1.76,1.29,2.3,1.58
h_0,1.67,1.39,1.41,1.43,1.3,1.06,1.29,1.74,1.42,1.48,1.43,1.6,1.58,1.43,1.21,1.87
a_0,1.53,1.5,1.41,1.38,1.43,1.1,1.66,1.24,1.36,1.57,1.45,1.48,1.72,1.92,1.18,1.61
e_0,1.73,1.29,1.37,1.35,1.47,1.19,1.61,1.55,1.65,1.41,1.6,1.47,2.12,1.46,1.95,1.76
g_0,1.38,1.27,1.41,1.79,1.36,1.17,1.47,1.5,1.36,1.69,1.51,1.95,1.75,1.43,1.5,1.52
