,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.06,2.56,2.27,2.17,2.09,1.89,0.82,0.97,0.58,0.78,0.64,0.61,0.44,0.59,0.52,0.37
e_1,2.25,1.06,1.5,2.42,2.39,2.03,1.06,0.86,0.99,0.74,0.8,0.72,0.62,0.64,1.25,0.6
f_1,2.12,2.62,1.06,2.23,2.21,2.48,0.6,0.72,0.92,0.58,0.83,0.56,0.36,0.54,0.48,0.47
c_1,2.9,2.01,2.46,1.06,2.52,2.04,0.81,0.45,0.88,1.02,0.61,0.59,0.63,0.61,0.56,0.66
b_1,2.86,2.82,3.35,1.77,1.06,2.58,1.17,0.74,0.93,1.0,0.71,1.61,0.66,0.75,0.79,0.67
a_1,3.38,3.24,3.33,4.19,2.0,1.07,1.77,1.1,1.44,1.15,1.12,1.3,1.07,1.72,1.13,0.86
h_1,6.13,5.77,7.5,6.42,5.39,4.35,1.35,1.87,3.14,1.65,1.83,1.85,2.07,1.52,1.41,1.48
d_0,10.38,4.36,7.36,8.1,7.78,5.75,2.73,1.58,2.4,1.82,1.78,2.03,1.65,1.47,1.68,1.76
g_1,8.52,6.88,7.14,7.53,7.65,5.44,1.89,2.55,1.35,2.29,2.13,2.16,1.56,2.34,1.96,1.78
c_0,4.57,8.13,7.67,11.9,6.85,5.07,3.17,3.09,2.69,1.52,2.4,3.18,1.85,2.06,2.11,1.87
f_0,7.12,7.72,12.18,8.15,8.09,5.81,3.36,2.45,2.12,2.27,1.56,2.33,1.83,1.71,2.26,1.14
b_0,7.07,7.33,9.07,11.19,9.37,6.13,3.01,2.85,2.67,1.33,2.24,1.56,1.84,2.79,2.05,1.56
h_0,9.79,8.25,12.19,8.62,9.56,7.18,4.32,2.88,3.11,2.54,2.5,2.42,2.76,2.22,2.18,2.0
a_0,9.34,10.07,11.04,10.96,11.66,13.47,3.99,3.93,2.89,2.97,3.07,1.74,2.86,1.62,2.55,2.26
e_0,10.43,13.89,15.5,11.66,9.17,6.81,4.33,3.74,3.11,3.01,1.78,3.02,2.36,2.52,1.61,2.44
g_0,11.33,10.58,12.7,9.2,8.29,8.93,3.44,3.27,5.56,2.78,3.74,3.43,2.22,2.74,2.55,2.69
