,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.06,2.59,2.14,2.19,1.84,1.62,0.69,0.65,1.03,0.54,0.84,0.6,0.52,0.43,0.57,0.56
e_1,1.46,1.06,1.83,2.79,2.67,2.05,0.92,0.84,0.84,0.73,0.74,0.7,0.56,0.56,0.77,0.5
d_1,2.4,2.98,1.06,2.32,2.01,2.07,0.86,1.16,0.55,0.85,0.65,0.62,0.52,0.45,0.61,0.34
c_1,2.5,2.03,3.05,1.06,2.82,1.99,0.94,0.43,0.94,1.06,0.62,0.67,0.65,0.49,0.61,0.52
b_1,3.24,2.33,3.28,1.62,1.06,2.63,1.06,0.86,0.98,0.89,0.89,1.0,0.74,0.66,0.66,0.69
a_1,4.56,3.49,3.34,3.83,2.21,1.07,1.71,1.4,1.26,1.15,1.08,1.72,3.26,0.85,0.83,0.82
h_1,6.61,5.44,5.5,5.85,5.63,4.61,1.33,1.64,2.15,1.51,1.56,1.43,1.34,1.89,1.34,1.26
d_0,8.2,4.24,9.09,8.53,7.3,5.15,3.04,1.57,2.75,2.15,1.98,2.14,1.93,1.64,1.88,1.86
g_1,7.02,7.37,8.21,6.55,6.9,5.98,2.06,2.36,1.35,1.89,2.05,2.35,1.7,1.37,1.93,2.1
c_0,8.37,7.32,4.45,12.08,8.14,5.89,2.8,2.64,3.21,1.54,2.01,2.58,2.19,1.79,1.98,1.75
f_0,13.13,7.29,7.86,8.2,6.77,6.29,3.55,2.62,2.36,2.01,1.55,2.44,1.86,1.85,2.74,1.1
b_0,9.17,7.59,7.04,10.5,14.06,5.41,3.36,2.36,2.7,1.43,2.11,1.52,2.78,2.05,2.25,1.77
a_0,13.74,9.76,10.49,11.02,12.37,9.56,4.2,3.23,3.63,2.37,2.59,1.6,1.68,2.48,2.51,2.02
h_0,10.26,10.54,10.86,10.78,9.32,8.55,4.4,3.12,3.81,2.81,2.72,2.88,2.57,3.39,2.61,2.45
e_0,14.4,15.74,8.92,9.77,10.05,10.54,4.73,2.79,3.77,2.83,1.68,3.15,2.57,2.27,1.62,1.95
g_0,11.56,11.99,12.87,11.04,10.35,11.54,3.68,3.17,4.97,3.26,4.15,3.48,2.9,2.07,3.12,3.38
