,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.93,0.15,0.1,0.09,0.1,0.08,0.07,0.06,0.05,0.07,0.06,,0.05,0.05,0.04,0.06
e_1,0.11,0.93,0.08,0.1,0.08,0.07,0.08,0.08,0.04,0.1,0.06,0.05,0.06,0.03,,0.06
d_1,0.11,0.11,0.93,0.07,0.08,0.06,0.08,0.11,0.04,,0.07,0.06,0.07,0.04,0.04,0.05
c_1,0.09,0.1,0.1,0.93,0.2,0.07,0.08,,0.06,0.05,0.07,0.06,0.07,0.05,0.03,0.07
b_1,0.12,0.1,0.13,0.06,0.93,0.12,0.08,0.06,0.06,0.07,,0.05,0.09,0.05,0.05,0.05
a_1,0.11,0.12,0.13,0.11,0.07,0.93,0.09,0.08,0.06,0.08,0.06,0.08,0.09,,,0.06
h_1,0.36,0.31,0.26,0.27,0.2,0.23,0.71,0.17,0.22,0.14,0.17,0.14,,0.13,0.14,0.16
c_0,0.36,0.31,0.32,,0.31,0.22,0.25,0.57,0.18,0.24,0.33,0.19,0.24,0.17,0.18,0.14
g_1,0.32,0.34,0.56,0.31,0.3,0.22,0.15,0.23,0.71,0.12,0.14,0.21,0.11,0.14,,
d_0,0.42,0.33,,0.55,0.29,0.26,0.3,0.18,0.21,0.58,0.24,0.18,0.2,0.13,0.12,0.15
b_0,0.32,0.39,0.32,0.36,,0.22,0.26,0.2,0.22,0.21,0.57,0.2,0.3,0.33,0.14,0.15
f_0,,0.31,0.39,0.32,0.37,0.21,0.24,0.26,0.19,0.27,0.25,0.58,0.24,0.22,0.27,0.14
h_0,0.71,0.48,0.49,0.47,0.3,0.24,,0.3,0.46,0.37,0.17,0.23,,0.17,,0.27
a_0,0.33,0.39,0.39,0.39,0.32,,0.28,0.28,0.26,0.28,0.16,0.16,0.34,0.55,,0.23
e_0,0.39,,0.38,0.54,0.42,,0.26,0.28,,0.32,0.27,0.16,,,0.59,
g_0,0.32,0.52,0.52,0.34,0.54,0.34,0.35,0.37,,0.37,0.34,0.46,0.28,0.17,,
