,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.12,1.35,1.29,1.82,3.61,18.49,24.38,37.26,36.11,45.96,49.98,78.56,85.79,105.17,95.89
f_1,0.9,1.0,1.53,1.31,1.85,3.07,16.37,29.87,29.87,37.82,38.28,49.02,71.1,69.49,82.55,110.26
e_1,0.72,0.66,1.0,1.35,1.53,2.74,15.35,22.66,22.86,35.96,33.14,42.14,59.93,64.59,81.99,92.7
c_1,0.79,0.76,0.77,1.0,1.73,2.71,13.63,22.29,19.32,18.69,21.33,36.42,48.11,57.53,69.26,81.58
b_1,0.53,0.54,0.64,0.58,1.0,2.43,10.66,16.43,17.28,18.05,19.44,26.88,34.56,46.46,49.15,63.22
a_1,0.27,0.31,0.36,0.37,0.42,1.0,6.34,9.32,8.91,9.82,12.36,15.56,20.0,25.5,33.94,37.82
h_1,0.05,0.06,0.07,0.07,0.09,0.15,1.0,1.66,1.63,1.85,2.22,2.74,3.78,4.54,5.68,6.63
g_1,0.04,0.03,0.04,0.05,0.06,0.11,0.59,1.0,1.03,1.19,1.43,2.1,2.6,2.7,3.77,3.89
c_0,0.03,0.03,0.04,0.05,0.06,0.11,0.6,0.97,1.0,1.45,1.7,1.68,2.72,2.69,3.57,3.45
d_0,0.03,0.03,0.03,0.05,0.05,0.1,0.52,0.84,0.69,1.0,1.05,1.47,2.21,2.37,2.88,3.16
b_0,0.02,0.03,0.03,0.04,0.05,0.08,0.45,0.69,0.58,0.97,1.0,1.24,2.35,2.24,2.54,2.75
f_0,0.02,0.02,0.02,0.03,0.04,0.06,0.37,0.47,0.59,0.68,0.77,1.0,1.43,1.53,2.86,2.03
a_0,0.01,0.01,0.02,0.02,0.03,0.05,0.27,0.36,0.37,0.46,0.44,0.7,1.0,1.18,1.39,1.7
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.22,0.37,0.39,0.43,0.45,0.62,0.84,1.01,1.06,1.46
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.26,0.29,0.35,0.39,0.37,0.72,0.94,1.0,1.07
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.24,0.3,0.3,0.37,0.49,0.6,0.69,0.9,1.0
