,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,9655.73,1174.79,1524.62,2502.56,2852.7,15622.36,1659495.28,2617125.78,8056896.18,6448943.39,7479516.0,14451579.22,27864372.35,42695167.43,15386572.08,99780618.77
f_1,1856.02,11651.31,1406.72,2032.66,2985.76,14743.64,1355219.74,2042334.96,4377210.48,4747165.39,6790271.11,3537937.55,22334252.15,38264067.98,36584648.72,142081270.83
d_1,860.8,1271.66,17872.27,1569.74,2899.05,12669.42,1718353.03,2743141.41,1549295.75,10900072.73,7796939.35,18811736.7,22708181.16,40240713.42,65940426.37,194445512.14
c_1,956.65,970.36,1835.2,21932.96,6738.33,11649.46,1570825.76,2886470.95,4576849.32,1162050.91,4317815.94,14447296.69,25226715.73,30924187.11,56663870.44,136239114.06
b_1,1087.57,1340.8,1671.76,1746.44,40719.18,28983.57,1407744.99,3418909.91,4228816.76,3001159.66,1416688.97,16798497.56,18518029.43,46957756.89,46213390.32,157078858.94
a_1,896.93,1120.43,1514.8,1840.03,3628.88,287162.48,1489248.46,3045240.13,3996662.32,6264701.87,7478366.82,20023456.05,9438153.91,52894163.07,57554031.58,133057079.4
h_1,1416.41,3294.62,3198.72,3008.7,4769.17,21373.17,10562553.64,6219168.82,7239688.55,8755439.05,10878147.43,32039069.95,37539916.87,21626839.9,113561116.12,311674654.77
g_1,1748.68,1346.34,4810.09,3869.9,4616.16,19721.62,2976452.19,21852311.77,7202019.49,7891005.42,10767042.86,54423418.9,42878860.88,71496497.1,91614482.46,92972036.35
d_0,1909.03,2079.5,1354.37,6601.12,5601.81,26344.41,2455918.19,4389232.27,20877824.97,9047745.59,12151293.57,35901018.45,46271423.47,76835120.61,102766155.08,243433106.23
c_0,1752.56,2355.07,3359.51,1562.08,4806.55,28769.25,2492708.73,4752244.95,8510411.27,27894225.34,26327040.1,46784039.74,50814004.71,89992422.54,117546149.47,268361501.3
b_0,2004.12,2301.09,2964.07,3529.15,2372.35,21053.94,2750356.74,4993752.48,9408684.01,10976847.19,37865463.99,43699190.49,106061254.61,85022469.53,111756015.17,223074266.79
f_0,1459.36,575.74,3533.14,3990.66,4542.53,43634.64,2274338.67,3974153.96,11647303.93,12949048.45,11516272.02,114768977.85,52655812.42,86560037.32,240187549.22,265782457.79
a_0,1798.64,2488.45,2908.71,3024.04,6892.61,,2636234.66,4200867.45,7246105.9,12839648.68,14341957.23,44725681.54,150725945.57,85243730.58,125752382.55,292931511.54
h_0,1631.65,3095.96,3197.82,3882.33,4214.32,26679.82,785967.8,4056948.84,6182319.64,8856979.87,11566425.27,28748862.43,42346615.23,19600796.07,113507876.03,326875508.86
e_0,870.29,2309.25,3099.92,4433.52,5215.13,37686.15,3265312.59,5116587.87,8515967.0,10225161.42,12844315.76,40443671.16,38904739.08,72101020.98,420387247.66,237857194.65
g_0,1363.59,2480.27,5481.97,3576.05,4001.29,14635.79,2346014.8,1854605.18,7035442.17,10745171.19,12271010.75,53851527.68,41077692.26,80643275.28,110106594.73,105958606.51
