,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.16,1.16,1.13,1.17,0.9,0.22,0.39,0.23,0.22,0.22,0.28,0.12,0.22,0.17,0.22
e_1,0.68,0.43,1.26,1.41,1.2,1.2,0.37,0.4,0.25,0.26,0.29,0.36,0.18,0.24,0.33,0.19
d_1,1.37,1.32,0.41,1.21,1.31,1.04,0.31,0.22,0.23,0.45,0.23,0.25,0.16,0.25,0.24,0.11
c_1,1.13,0.97,1.74,0.4,1.31,1.02,0.44,0.36,0.41,0.14,0.26,0.3,0.17,0.23,0.23,0.18
b_1,1.56,1.41,1.41,0.7,0.38,1.53,0.43,0.36,0.36,0.28,0.4,0.28,0.21,0.25,0.34,0.2
a_1,2.0,1.65,1.78,1.68,0.73,0.32,0.46,0.5,0.38,0.36,0.49,0.31,0.33,0.55,0.33,0.22
h_1,2.15,2.35,1.86,2.32,2.1,1.76,0.3,0.59,0.44,0.51,0.44,0.42,0.42,0.38,0.35,0.32
g_1,2.68,2.39,2.12,2.37,2.49,2.38,0.61,0.28,0.53,0.52,0.55,0.46,0.26,0.46,0.43,0.39
c_0,2.95,2.83,1.44,3.81,2.45,2.25,0.67,0.65,0.31,0.84,0.45,0.46,0.36,0.47,0.45,0.29
d_0,2.35,1.44,3.74,2.52,2.6,2.22,0.78,1.06,0.54,0.35,0.58,0.56,0.37,0.47,0.48,0.44
b_0,2.75,2.37,2.24,3.92,3.31,2.27,0.73,0.65,0.29,0.49,0.3,0.45,0.38,0.44,0.46,0.33
f_0,4.36,2.65,2.56,2.87,2.85,2.2,0.86,0.44,0.59,0.61,0.57,0.28,0.35,0.52,0.44,0.23
h_0,3.18,2.61,2.9,3.3,3.25,2.41,1.09,0.72,0.66,0.54,0.54,0.56,0.58,0.48,0.52,0.43
a_0,3.21,2.83,2.91,3.19,3.62,5.0,0.94,0.85,0.55,0.61,0.34,0.57,0.42,0.3,0.56,0.45
e_0,4.4,3.93,3.22,3.47,3.4,2.68,1.06,0.93,0.67,0.67,0.59,0.34,0.39,0.56,0.29,0.42
g_0,4.01,3.55,2.99,4.27,4.23,4.27,0.76,1.08,0.69,0.74,0.71,0.66,0.39,0.58,0.64,0.55
