,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.12,3.09,5.38,5.23,5.05,6.26,1.49,1.57,1.21,1.07,1.24,1.37,1.23,0.91,0.77,3.2
f_1,4.52,1.13,4.57,4.72,4.95,5.58,1.11,2.41,1.17,1.0,0.98,2.36,1.06,0.51,0.95,0.83
d_1,6.77,5.07,1.13,5.97,5.24,5.05,1.72,1.02,2.53,0.95,1.21,0.93,0.92,0.74,0.55,0.99
c_1,5.08,5.49,7.04,1.13,5.99,4.51,1.62,1.39,0.64,2.54,1.22,0.96,1.26,0.86,1.0,1.07
b_1,7.99,8.71,6.68,3.62,1.13,7.27,1.93,2.06,1.57,1.88,4.05,1.87,1.65,1.02,0.95,1.07
a_1,11.92,10.19,9.85,15.09,5.51,1.14,4.62,2.64,2.44,1.94,2.04,2.11,5.84,1.51,1.5,2.0
h_1,17.84,14.95,15.88,16.99,18.89,13.92,1.78,5.13,4.01,3.97,3.68,3.0,3.68,5.28,3.03,3.37
g_1,18.38,23.61,17.36,24.04,23.69,19.66,4.54,1.84,4.44,4.43,3.59,3.19,3.95,2.43,3.86,4.02
d_0,11.92,23.15,48.1,22.69,26.48,21.54,6.78,7.52,2.39,5.08,4.76,4.33,4.71,3.7,3.29,4.07
c_0,19.77,28.48,11.65,53.2,28.73,22.33,6.07,6.53,7.2,2.34,5.04,4.73,4.81,3.52,3.11,5.16
b_0,23.15,22.85,18.3,34.52,51.94,22.61,6.68,7.67,5.32,2.94,2.26,4.65,4.81,4.51,4.2,4.85
f_0,24.72,58.82,25.9,27.27,28.14,24.12,7.42,4.43,5.19,4.82,4.69,2.37,5.03,4.61,2.21,4.52
a_0,34.51,31.47,30.33,35.66,39.14,78.65,9.14,11.1,8.7,6.12,3.75,6.13,2.5,4.08,4.15,8.05
h_0,27.3,39.87,31.76,32.45,33.76,27.41,13.56,11.1,7.61,6.97,6.38,6.13,7.68,10.07,4.54,6.23
g_0,40.64,39.87,44.3,42.14,50.96,41.11,9.86,18.6,10.0,9.36,7.79,8.72,7.18,4.37,9.33,7.86
e_0,53.79,71.76,50.25,46.36,41.55,31.74,11.73,11.1,8.27,9.92,9.23,4.07,6.84,5.85,5.79,2.84
