,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.99,1.51,1.33,1.57,2.84,19.75,29.7,43.38,31.7,34.45,53.97,79.9,82.59,92.97,113.85
f_1,1.02,1.0,1.09,1.11,1.26,2.01,11.95,24.06,24.69,26.32,27.77,32.8,57.4,56.76,63.48,98.74
c_1,0.64,0.9,1.0,1.07,1.75,2.11,16.43,22.54,17.69,20.89,22.05,38.12,59.27,61.4,71.12,87.69
d_1,0.75,0.92,0.93,1.0,1.24,1.96,15.24,18.28,25.58,25.59,32.75,34.89,56.2,55.71,72.5,63.9
b_1,0.63,0.79,0.6,0.8,1.0,2.42,11.85,17.89,16.55,18.82,23.48,25.57,38.44,53.9,57.79,74.39
a_1,0.35,0.49,0.47,0.5,0.42,1.0,9.07,12.9,11.56,13.99,12.72,17.22,32.32,33.54,42.07,42.62
h_1,0.05,0.09,0.06,0.07,0.08,0.11,1.0,1.64,1.51,1.55,1.76,2.18,4.0,4.29,5.11,7.02
g_1,0.03,0.04,0.04,0.06,0.05,0.08,0.62,1.0,0.99,1.12,1.22,1.93,2.67,2.34,3.66,3.98
d_0,0.02,0.04,0.06,0.04,0.06,0.09,0.64,0.99,1.0,1.1,0.96,1.58,2.59,2.85,3.28,3.55
b_0,0.03,0.04,0.05,0.04,0.05,0.07,0.64,0.86,0.95,1.0,0.89,1.54,3.53,2.63,3.02,3.38
c_0,0.03,0.04,0.04,0.03,0.04,0.08,0.58,0.77,1.1,1.16,1.0,1.36,2.43,2.53,2.92,3.23
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.43,0.51,0.63,0.66,0.73,0.99,1.81,1.83,2.9,1.91
a_0,0.01,0.02,0.02,0.02,0.03,0.03,0.24,0.37,0.41,0.29,0.39,0.55,1.0,1.15,1.08,1.49
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.23,0.42,0.34,0.36,0.39,0.54,0.88,1.0,1.0,1.55
e_0,0.01,0.02,0.01,0.01,0.02,0.02,0.18,0.25,0.31,0.36,0.35,0.35,0.99,0.99,1.0,1.24
g_0,0.01,0.01,0.01,0.02,0.01,0.02,0.15,0.25,0.29,0.3,0.31,0.5,0.7,0.63,0.82,1.0
