,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,117.09,49.39,59.63,107.99,91.08,261.34,7718.97,13096.48,18897.31,35123.06,37821.03,43080.07,99204.5,63390.86,85638.96,137193.07
d_1,62.91,120.08,60.36,71.41,91.54,251.87,7160.71,11625.23,31260.56,12780.58,35813.4,40643.93,97671.74,95956.04,97116.3,140818.67
f_1,85.48,61.19,124.18,71.23,82.4,207.9,6484.08,14060.99,17159.02,20234.59,18035.33,36375.81,74782.48,60171.67,93924.34,147162.17
c_1,39.83,53.79,59.18,157.85,137.29,208.09,5825.29,11792.59,11403.1,15776.97,28974.26,24372.76,89742.72,81169.25,68639.72,141640.42
b_1,47.0,46.9,52.35,59.52,176.2,405.96,5841.34,11366.61,13541.0,16947.36,26678.03,18946.58,94999.95,85449.69,65516.05,126993.26
a_1,34.91,38.4,42.14,59.76,47.57,412.95,3907.99,8979.24,10615.41,14004.24,18998.66,32244.6,55460.76,64181.29,40815.99,85640.38
h_1,13.75,17.18,21.36,24.81,24.68,69.9,2911.81,4414.94,5116.37,5340.43,9011.36,11492.05,25317.81,24490.15,23963.28,50666.44
g_1,12.49,19.47,12.25,13.94,18.91,61.23,1516.94,5068.42,4823.38,4048.43,9561.43,9915.19,18151.64,21873.33,19077.35,26328.31
c_0,11.95,11.86,14.27,13.17,18.04,54.34,1615.68,2901.29,5689.66,4680.01,6970.88,13756.11,20006.61,17555.61,22790.82,33060.63
d_0,9.56,8.62,12.76,30.24,19.89,41.09,1486.96,2410.03,2666.46,6048.38,6069.16,7650.68,21625.54,17631.24,19314.71,29677.8
f_0,8.31,10.61,11.23,14.01,18.02,45.77,1356.09,2363.62,3591.0,3746.71,8560.74,7528.75,19245.59,32210.6,15942.86,25564.02
b_0,8.61,12.05,11.76,16.16,11.48,28.31,1170.45,2202.61,2737.42,3515.52,5156.11,9707.57,18672.52,15500.9,28474.32,22763.9
h_0,6.28,7.87,11.14,12.19,10.68,35.98,653.16,2354.23,2323.24,2718.39,3822.94,4915.05,10754.37,10928.58,13316.14,24084.1
e_0,5.41,7.71,9.75,9.82,11.16,32.25,1036.59,1716.66,2541.39,2398.58,3204.71,5172.4,15384.02,18767.68,11378.79,19680.19
a_0,7.31,7.85,8.8,11.32,11.83,19.45,970.52,1799.83,2334.36,2424.5,4530.64,4245.07,13843.23,12725.01,18796.75,22162.56
g_0,5.44,9.38,6.2,10.7,10.18,30.55,679.88,1112.73,2071.92,2069.39,4557.32,4955.95,9584.41,10922.23,9506.41,12295.18
