,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.41,0.87,1.1,0.97,1.06,0.8,0.95,0.89,0.94,,1.03,0.83,1.18,0.82,1.24
e_1,0.71,1.0,1.08,0.85,0.93,1.07,1.08,1.37,1.28,0.94,0.91,0.96,1.2,,1.21,0.81
c_1,1.15,0.92,1.0,0.89,1.34,0.93,0.97,0.84,1.16,,1.0,0.79,1.03,,1.0,1.25
d_1,0.91,1.17,1.12,1.0,0.85,1.03,1.26,,0.81,1.2,1.16,0.95,0.91,0.88,1.08,0.75
b_1,1.03,1.07,0.75,1.18,1.0,1.33,0.94,1.02,1.0,0.98,0.89,,1.01,,1.12,0.89
a_1,0.94,0.94,1.07,0.97,0.75,1.0,1.13,1.24,0.97,,0.94,,1.12,0.94,,1.03
h_1,1.25,0.93,1.03,0.79,1.06,0.89,1.0,0.91,1.29,1.17,0.77,0.91,,0.83,1.05,0.97
d_0,1.05,0.73,1.19,,0.98,0.81,1.1,1.0,0.96,1.22,1.17,0.89,1.08,0.71,1.0,1.31
g_1,1.13,0.78,0.86,1.23,1.0,1.04,0.77,1.04,1.0,0.83,1.41,0.88,0.75,,1.12,
c_0,1.06,1.07,,0.83,1.02,,0.86,0.82,1.2,1.0,1.11,1.34,0.97,0.95,0.98,0.8
f_0,,1.1,1.0,0.86,1.12,1.06,1.31,0.85,0.71,0.9,1.0,1.02,1.18,1.54,,0.88
b_0,0.97,1.04,1.26,1.05,,,1.1,1.13,1.13,0.75,0.98,1.0,0.96,0.79,1.25,1.0
h_0,1.21,0.83,0.97,1.1,0.99,0.89,,0.92,1.33,1.03,0.85,1.04,,0.92,0.87,1.06
e_0,0.85,,,1.13,,1.07,1.21,1.41,,1.05,0.65,1.27,1.09,1.0,,1.06
a_0,1.21,0.83,1.0,0.92,0.89,,0.95,1.0,0.89,1.02,,0.8,1.14,,1.0,
g_0,0.8,1.24,0.8,1.33,1.12,0.97,1.04,0.76,,1.25,1.13,1.0,0.95,0.95,,
