,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.47,0.16,0.14,0.16,0.14,0.16,0.16,0.14,0.41,0.22,0.2,0.18,0.23,0.14,,0.14
f_1,0.24,1.48,0.14,0.13,0.18,0.14,0.18,0.17,0.21,0.2,0.23,,0.19,0.15,0.1,0.26
d_1,0.22,0.17,1.53,0.13,0.15,0.11,0.18,0.14,,0.34,0.19,0.22,0.22,0.13,0.21,0.18
c_1,0.21,0.18,0.19,1.55,0.22,0.1,0.23,0.15,0.16,,0.17,0.22,0.19,0.22,0.19,0.17
b_1,0.19,0.18,0.19,0.17,1.59,0.23,0.21,0.23,0.18,0.2,,0.19,0.21,0.13,0.18,0.18
a_1,0.15,0.13,0.24,0.2,0.14,1.78,0.2,0.2,0.2,,,0.27,0.28,,0.18,0.28
h_1,0.39,0.52,0.38,0.38,0.38,0.35,1.63,0.43,0.45,0.47,0.37,0.48,,0.36,0.39,0.53
g_1,0.43,0.37,0.64,0.46,0.23,0.36,0.54,1.73,0.4,0.4,0.37,0.57,0.42,0.39,,
d_0,0.29,0.46,,0.77,0.52,0.35,0.72,0.6,1.43,0.5,0.51,0.42,0.58,0.42,0.39,0.57
c_0,0.47,0.57,0.42,,0.34,,0.65,0.56,0.6,1.4,0.8,0.56,0.7,0.45,0.5,0.45
b_0,0.46,0.46,0.46,0.44,,,0.68,0.6,0.56,0.45,1.49,0.39,0.67,0.99,,0.55
f_0,0.47,,0.43,0.42,0.52,0.35,0.46,0.49,0.54,0.58,0.74,1.53,0.77,,0.66,0.51
h_0,0.62,0.9,0.43,0.61,0.57,0.35,,0.8,0.8,0.6,0.66,0.57,,0.57,0.47,1.01
a_0,0.6,0.51,0.63,0.42,0.47,,0.56,0.63,0.47,0.67,0.34,,0.59,1.64,,0.48
e_0,,0.62,0.48,0.45,0.5,0.51,0.57,,0.6,0.67,,0.43,0.91,,1.64,0.48
g_0,0.79,0.47,0.75,0.61,0.64,0.43,0.62,,0.72,0.71,0.64,0.93,0.69,0.78,0.62,
