,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,12.53,0.62,0.8,0.55,0.65,0.64,0.89,0.56,1.06,2.54,1.14,1.33,1.1,1.15,1.28,1.09
e_1,0.5,9.79,0.77,1.02,0.75,0.79,1.02,2.51,0.97,0.76,0.89,0.97,1.1,0.85,0.63,0.84
f_1,0.7,1.78,11.7,0.67,0.51,0.63,0.86,0.91,0.9,0.82,0.62,0.91,0.9,0.92,0.55,0.68
c_1,0.68,0.67,0.63,11.26,1.73,0.6,0.91,0.85,0.77,0.51,0.87,0.63,0.93,0.85,0.85,1.12
b_1,0.71,0.64,0.56,0.76,13.02,1.84,1.07,0.72,0.73,0.84,0.95,0.72,0.8,0.74,1.03,1.16
a_1,0.76,0.59,0.72,0.62,0.72,17.86,0.97,1.02,1.21,1.13,1.15,1.11,1.18,0.66,1.16,0.95
h_1,0.9,0.73,1.37,0.85,0.62,0.59,3.08,0.96,1.4,0.92,1.0,0.95,0.7,1.21,0.99,1.27
d_0,0.56,0.74,0.74,2.09,1.0,0.75,1.04,1.68,0.85,0.61,1.08,0.83,0.94,0.88,1.07,1.03
g_1,1.76,0.6,0.65,0.72,0.67,0.68,0.89,0.93,4.1,1.04,1.99,1.1,1.05,1.42,1.51,0.88
c_0,1.02,0.79,0.99,0.66,0.47,0.65,1.25,1.01,1.0,2.19,1.18,3.47,1.24,1.63,1.32,1.24
f_0,0.95,0.57,0.66,0.86,0.89,0.89,1.07,1.05,1.24,1.01,2.31,1.02,1.14,1.21,3.09,1.08
b_0,0.97,0.76,1.07,0.99,0.43,0.61,0.98,1.08,1.03,0.99,1.18,2.35,1.22,3.09,1.43,1.19
h_0,1.09,0.84,1.29,0.73,0.59,0.66,0.68,1.03,1.25,0.88,0.98,1.02,0.83,1.12,1.12,1.48
a_0,0.98,0.74,1.04,0.83,0.67,0.43,1.29,1.06,1.16,1.22,1.29,0.91,1.21,3.02,1.46,1.29
e_0,1.25,0.39,1.05,0.73,0.8,0.74,1.2,0.87,1.02,1.05,1.09,1.01,1.27,1.34,2.91,1.28
g_0,2.06,0.58,0.7,0.71,0.7,0.74,0.91,0.76,0.82,1.03,2.09,1.13,1.07,1.19,1.18,1.04
