,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.58,0.07,0.07,0.08,0.07,0.06,0.3,0.76,0.3,0.4,0.41,0.38,0.42,0.25,,0.69
f_1,0.15,5.61,0.07,0.07,0.06,0.04,0.29,0.38,0.29,0.4,0.39,,0.58,0.36,0.39,0.61
c_1,0.06,0.07,6.63,0.07,0.13,0.12,0.33,0.48,0.34,,0.27,0.36,0.45,0.39,0.44,0.6
d_1,0.05,0.11,0.06,6.76,0.08,0.08,0.37,,0.37,0.7,0.33,0.32,0.58,0.46,0.31,0.37
b_1,0.08,0.07,0.1,0.08,7.4,0.13,0.22,0.34,0.24,0.35,,0.4,0.81,0.26,0.27,0.62
a_1,0.11,0.08,0.09,0.09,0.07,10.03,0.27,0.35,0.41,0.37,0.25,0.33,0.47,,,0.55
h_1,0.27,0.47,0.29,0.3,0.29,0.23,14.93,1.42,1.31,1.45,1.43,1.19,,2.06,1.11,2.08
d_0,0.28,0.4,0.78,,0.43,0.32,1.68,11.11,1.32,1.84,1.53,2.19,3.5,1.95,2.07,2.74
g_1,0.21,0.27,0.21,0.5,0.36,0.24,0.61,1.93,17.6,1.87,1.93,1.34,2.22,,1.11,
c_0,0.37,0.34,,0.47,0.27,0.4,1.36,1.42,1.12,13.1,4.26,1.51,3.03,1.77,1.56,3.11
b_0,0.43,0.34,0.33,0.36,,0.43,2.54,1.23,1.37,1.81,13.51,1.85,2.88,3.81,1.34,3.77
f_0,0.34,,0.39,0.37,0.46,0.38,1.13,2.44,1.15,1.32,2.46,14.36,2.93,2.0,5.33,2.47
h_0,0.61,0.93,0.59,0.51,0.56,0.6,,2.41,2.14,2.05,3.45,3.71,,1.94,3.55,4.96
a_0,0.35,0.4,0.41,0.4,0.31,,1.37,2.12,,1.96,1.63,2.77,3.04,20.09,2.28,2.14
e_0,,0.33,0.39,0.38,0.39,,1.79,1.98,1.51,1.25,1.82,1.98,4.32,2.1,22.73,
g_0,0.61,0.33,0.41,0.67,0.65,0.48,2.36,2.41,,2.88,1.62,5.77,6.16,3.3,,
