,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.35,0.88,1.03,1.27,1.03,0.78,1.82,1.93,3.73,1.98,1.85,2.37,2.84,1.63,1.85,2.55
d_1,1.06,2.41,1.12,0.79,0.92,0.86,1.97,2.07,1.53,3.48,2.62,2.14,2.83,1.88,2.09,2.43
f_1,1.74,1.01,2.43,1.06,0.84,0.68,1.88,1.61,2.21,1.94,2.05,1.28,2.18,1.22,1.73,2.29
c_1,1.01,1.02,0.99,2.53,1.71,0.94,1.7,1.88,2.08,1.37,1.44,1.98,2.83,1.73,1.38,1.98
b_1,0.91,1.1,1.12,1.0,2.67,1.7,1.96,1.84,2.01,2.13,1.62,1.94,2.76,1.91,1.3,2.45
a_1,1.05,1.15,1.27,1.08,0.87,3.07,2.05,1.88,2.11,2.19,2.25,1.84,3.02,1.87,1.38,2.44
h_1,1.17,1.26,1.41,1.12,1.01,0.85,3.62,2.37,2.1,2.03,2.01,2.18,2.44,2.09,1.9,3.55
g_1,1.06,1.67,0.99,1.04,0.97,0.89,2.08,3.58,1.95,2.33,2.18,3.19,2.92,2.32,1.73,2.21
d_0,1.13,0.93,1.03,1.89,1.2,0.96,1.99,1.87,3.29,1.53,1.61,2.19,2.84,2.02,1.56,2.68
c_0,1.25,1.23,1.27,0.98,0.8,0.82,2.13,2.16,2.17,3.43,3.9,2.34,3.38,2.08,2.77,2.58
b_0,1.08,1.25,1.29,1.14,0.81,0.66,2.06,2.01,2.44,2.51,3.63,2.31,3.29,1.97,3.71,2.79
f_0,0.95,1.35,0.99,1.22,1.02,0.98,2.05,2.4,2.62,2.08,2.25,3.54,3.22,3.76,1.91,3.09
h_0,1.06,1.24,1.44,1.15,0.99,0.95,1.58,2.52,2.26,2.11,2.4,2.11,2.1,2.19,1.89,3.12
e_0,0.83,1.34,1.21,1.2,1.09,1.03,2.02,2.31,2.28,2.19,2.36,2.14,3.44,3.61,1.99,2.88
a_0,1.08,1.3,1.15,1.25,1.17,0.58,2.13,2.06,2.26,2.1,2.55,2.36,3.25,2.15,3.8,3.05
g_0,1.03,1.63,1.07,1.15,0.97,0.83,2.11,1.85,2.0,2.13,2.0,3.03,3.38,2.54,1.75,2.08
