,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,85.74,11.49,14.64,22.35,26.15,103.63,2193.48,6969.19,4846.57,4777.39,8337.53,9717.41,25560.39,,35257.85,66495.43
f_1,13.8,102.45,14.76,20.57,29.47,98.24,2233.98,3770.09,3523.95,5129.87,8474.89,,22553.64,27926.81,33293.32,49235.52
d_1,8.58,9.64,136.46,14.75,24.92,67.18,2094.7,,3069.54,7705.84,7641.99,10583.86,19581.3,32873.71,30269.07,36521.56
c_1,6.78,8.65,17.45,149.45,29.7,103.08,2265.98,2312.45,3772.08,,6499.5,9721.21,21079.19,24242.6,39430.12,54644.24
b_1,8.47,8.3,11.44,13.09,184.37,118.05,1885.93,3691.66,3215.35,2635.82,,9620.75,27577.03,24751.25,,39351.96
a_1,4.57,5.71,10.39,8.39,8.1,543.59,1074.26,2429.59,,3744.87,3725.77,4217.86,11893.41,,,
h_1,3.85,6.31,7.26,8.61,11.9,38.23,3574.38,1789.33,2221.57,1869.2,3375.91,2664.64,,12244.31,11044.19,30449.77
d_0,3.58,5.49,,15.42,9.84,29.52,883.56,4137.37,1875.41,1991.6,3178.79,4866.24,8146.07,9582.61,20925.09,21307.8
g_1,2.74,3.42,8.6,5.89,8.71,,655.54,1341.52,5948.83,1630.5,2442.5,4107.33,7053.94,12153.49,16301.98,
c_0,3.84,5.0,6.5,,9.93,27.01,1058.49,1330.05,1591.44,5157.38,4824.83,3175.46,9538.71,11893.59,,24759.14
b_0,4.04,4.2,5.39,5.3,,23.19,813.17,1283.27,1486.02,1437.58,7314.7,2694.06,7482.69,11099.03,22264.86,19368.22
f_0,3.49,,4.69,3.87,6.63,35.78,1042.11,1078.69,1605.53,1810.99,2646.31,8517.87,7160.67,13347.23,,20998.14
h_0,3.07,4.92,5.84,4.73,4.72,23.41,,1600.62,1685.66,1676.86,2113.93,2751.15,,9076.92,9853.96,21134.28
e_0,,3.15,3.21,4.17,4.63,,576.87,927.19,785.42,1097.72,1606.01,2277.85,5182.2,22512.15,,15039.79
a_0,2.08,2.84,3.81,3.39,,,558.04,603.92,778.13,,1597.9,,4657.51,,25223.52,
g_0,1.85,2.96,5.98,4.84,6.82,,409.87,841.58,,1186.02,1411.9,2518.64,5202.99,6595.96,,
