,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.49,1.23,1.38,1.95,1.5,1.47,3.1,2.7,3.01,5.14,3.53,3.41,4.19,3.22,2.64,3.92
d_1,1.6,2.52,1.51,1.29,1.43,1.42,3.08,2.62,4.97,2.19,3.51,3.5,4.05,3.8,3.56,3.83
f_1,2.2,1.44,2.52,1.36,1.3,1.28,2.67,2.91,3.0,3.16,2.41,3.12,3.23,3.51,2.29,3.97
c_1,1.15,1.52,1.56,2.64,2.35,1.44,2.71,2.63,2.39,2.53,3.14,2.3,4.1,2.7,3.27,4.07
b_1,1.38,1.42,1.52,1.29,2.69,2.56,2.88,3.03,2.67,3.11,2.98,2.27,4.44,2.75,3.56,4.09
a_1,1.53,1.64,1.62,1.66,1.2,3.18,2.72,3.13,2.78,3.51,3.26,4.1,3.82,3.03,3.94,3.64
h_1,1.43,1.62,1.94,1.6,1.45,1.38,4.07,3.46,3.12,3.1,3.39,3.71,3.69,3.05,3.33,5.19
g_1,1.43,2.15,1.46,1.37,1.4,1.57,2.87,4.57,3.6,3.01,4.47,3.93,3.54,3.21,3.76,4.03
c_0,1.59,1.59,1.71,1.29,1.51,1.53,3.34,3.17,4.38,3.69,3.55,5.87,4.12,4.47,3.4,4.58
d_0,1.23,1.35,1.61,2.65,1.66,1.37,3.02,2.74,2.31,4.45,3.29,3.31,4.32,3.3,3.27,4.4
f_0,1.27,1.56,1.65,1.55,1.76,1.42,3.26,3.22,3.57,3.33,4.7,3.74,4.77,3.42,6.32,4.18
b_0,1.45,1.79,1.73,1.91,1.3,1.05,3.05,2.92,2.79,3.16,3.41,4.74,4.72,6.29,3.57,4.36
h_0,1.35,1.66,2.03,1.72,1.45,1.54,2.45,4.12,3.08,3.38,3.19,3.41,3.64,3.51,3.23,5.57
a_0,1.47,1.6,1.74,1.73,1.57,1.17,3.36,3.22,3.24,3.38,3.53,3.27,5.02,5.29,3.84,5.24
e_0,1.33,1.66,1.93,1.55,1.47,1.49,3.4,3.14,3.53,3.11,2.99,3.91,4.98,3.49,5.34,4.71
g_0,1.31,2.11,1.43,1.73,1.51,1.58,2.66,2.6,3.21,2.89,4.45,3.69,3.91,2.91,3.74,3.57
