,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,12.99,11.41,14.13,16.4,15.32,2.39,3.59,2.45,2.4,2.54,,1.22,2.23,2.99,2.34
d_1,10.34,0.17,16.55,16.07,13.31,11.48,3.55,2.32,2.41,,2.68,2.78,2.15,3.19,2.16,1.03
e_1,6.68,16.55,0.17,15.77,13.99,15.64,3.95,3.41,2.94,2.31,1.94,3.34,1.99,1.86,,3.98
c_1,10.92,12.5,13.38,0.15,16.36,12.99,3.06,3.59,,1.36,3.11,2.3,1.91,3.26,2.41,2.52
b_1,17.06,14.79,13.99,6.74,0.13,13.69,4.01,2.57,3.28,3.05,,3.37,1.42,3.31,2.86,1.26
a_1,14.59,13.04,14.82,10.73,5.77,0.09,5.52,4.4,2.01,2.97,3.26,3.43,1.99,,,
h_1,3.68,4.16,3.7,4.0,2.88,3.31,0.07,0.73,0.84,0.61,0.58,0.52,,0.67,0.54,0.42
g_1,3.84,3.26,3.79,3.2,6.12,2.72,0.6,0.06,0.82,1.02,0.61,0.55,0.36,1.1,0.62,
c_0,2.4,1.3,2.94,,2.69,2.46,0.76,0.86,0.08,0.67,0.54,0.47,0.41,0.76,0.81,0.26
d_0,2.46,,1.35,2.26,2.6,2.97,0.71,1.67,0.53,0.08,0.56,0.63,0.31,0.44,0.55,0.44
b_0,3.55,2.19,2.47,2.55,,2.68,0.69,0.69,0.33,0.56,0.07,0.63,0.28,0.69,0.56,0.33
f_0,,2.88,2.94,2.39,1.97,2.29,0.91,0.44,0.59,0.6,0.5,0.07,0.43,0.43,0.45,0.19
h_0,1.84,1.53,1.87,1.91,1.54,1.35,,0.53,0.28,0.29,0.38,0.29,,0.33,0.39,0.22
a_0,3.24,2.76,2.59,3.48,2.44,,0.82,0.76,0.41,0.67,0.29,0.43,0.42,0.05,,0.38
e_0,3.33,2.67,,2.68,3.06,,0.54,1.02,0.66,0.43,0.64,0.24,0.32,,0.05,
g_0,1.82,2.03,1.92,1.33,1.75,,0.36,,0.37,0.4,0.44,0.31,0.17,0.31,,
