,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.03,0.78,0.74,0.87,0.67,0.74,0.96,1.56,0.81,0.87,0.99,0.99,1.04,0.82,1.04,0.66
f_1,1.26,2.08,0.74,0.77,0.63,0.54,0.89,0.94,0.87,0.9,1.05,0.56,1.01,0.91,0.83,0.7
d_1,0.73,0.83,2.29,0.57,0.63,0.62,0.99,0.51,1.17,1.82,1.1,0.98,1.02,1.22,1.03,0.99
c_1,0.63,0.73,0.65,2.33,1.43,0.78,0.91,0.97,0.89,0.54,0.73,0.95,0.91,0.98,0.92,0.99
b_1,0.69,0.7,0.75,0.77,2.59,1.43,0.95,0.88,0.81,0.86,0.59,1.03,0.81,0.68,0.85,1.14
a_1,0.8,0.86,0.73,0.81,0.74,3.4,0.92,0.97,0.92,0.79,0.83,0.96,1.05,0.57,0.99,0.94
h_1,0.79,1.06,0.99,0.7,0.7,0.81,2.15,0.99,1.24,0.99,1.11,1.12,0.76,1.02,1.54,1.05
d_0,0.73,0.88,0.52,1.61,0.99,0.62,0.98,1.6,0.89,0.59,1.05,1.0,1.09,1.13,1.07,1.1
g_1,0.68,0.78,1.37,0.84,0.73,0.65,0.94,0.86,2.66,1.18,1.14,1.62,1.06,1.21,0.77,1.26
c_0,0.79,0.97,0.96,0.65,0.55,0.84,1.29,0.89,1.18,1.85,2.03,1.23,1.25,1.44,1.3,1.28
b_0,0.8,0.92,0.97,0.85,0.46,0.7,1.12,1.1,1.11,1.06,1.98,1.22,1.27,2.36,1.23,1.24
f_0,0.65,0.72,0.92,0.91,0.9,0.8,1.17,1.1,1.18,0.96,1.27,2.1,1.14,1.21,1.34,2.22
h_0,0.84,1.14,0.89,0.86,0.72,0.64,0.73,0.97,1.33,0.92,1.12,1.14,0.78,1.06,1.3,1.11
a_0,0.87,1.04,0.92,0.94,0.73,0.39,1.16,0.97,1.1,1.04,1.22,1.24,1.47,2.39,1.13,1.04
g_0,0.73,0.68,1.33,0.88,0.83,0.75,0.96,0.94,0.83,0.9,1.04,1.65,1.04,1.07,1.09,1.52
e_0,0.5,0.92,0.88,1.09,0.87,0.96,1.02,0.92,1.13,0.92,1.09,1.1,1.17,1.22,0.99,2.58
