,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.76,1.09,0.6,0.58,0.54,0.48,0.76,0.89,0.74,0.62,0.87,0.42,0.83,1.02,0.94,0.98
e_1,0.63,2.79,0.5,0.87,0.56,0.47,0.97,1.73,0.87,1.01,1.0,1.0,0.86,0.99,0.99,0.46
d_1,0.68,0.57,3.05,0.39,0.58,0.72,0.86,0.39,0.83,1.81,1.12,1.02,1.14,0.85,0.97,0.98
c_1,0.63,0.55,0.57,3.06,1.11,0.59,0.78,0.78,0.93,0.25,0.68,1.03,1.14,0.99,0.83,0.99
b_1,0.57,0.5,0.65,0.68,3.58,1.13,0.82,0.78,0.89,0.81,0.31,0.9,0.89,0.68,0.98,0.99
a_1,0.63,0.58,0.74,0.64,0.53,5.13,1.08,0.93,0.93,0.94,1.15,0.92,0.99,0.5,0.85,0.89
h_1,1.03,0.63,0.75,0.82,0.72,0.64,2.89,1.11,1.46,1.16,1.03,0.93,0.63,0.96,1.63,1.11
d_0,0.8,0.77,0.33,1.43,0.65,0.61,1.13,2.26,0.81,1.0,1.05,1.34,1.17,1.12,1.37,1.16
g_1,0.84,0.62,1.22,0.7,0.63,0.68,0.99,0.81,3.76,1.05,1.19,1.8,1.09,0.92,0.63,1.08
c_0,0.78,0.82,0.93,0.44,0.45,0.68,1.22,1.16,0.94,2.49,2.54,1.22,1.17,1.61,1.38,1.23
b_0,0.79,0.81,0.9,0.72,0.33,0.46,1.42,1.26,1.19,1.3,2.61,1.31,1.17,2.54,1.32,1.28
f_0,0.42,0.65,0.89,0.81,0.82,0.67,1.31,1.28,1.15,1.32,1.47,2.61,1.34,1.22,1.12,2.27
h_0,1.02,0.71,0.83,0.78,0.87,0.68,0.62,0.91,1.69,0.99,1.19,1.1,0.76,1.06,1.6,0.93
a_0,0.86,0.77,0.81,0.75,0.67,0.44,1.16,1.32,1.23,1.12,1.25,1.43,1.41,3.27,1.13,1.09
g_0,0.66,0.6,1.15,0.89,0.74,0.87,0.99,1.03,0.67,1.07,1.31,1.85,1.2,1.13,0.71,1.11
e_0,0.87,0.4,0.87,0.77,0.76,0.7,1.59,1.05,1.16,1.26,1.42,1.13,1.47,1.06,0.99,4.08
