,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.92,0.46,0.49,0.34,0.36,0.23,0.33,0.61,0.28,0.24,0.26,0.28,0.25,0.34,0.16,0.28
f_1,0.7,0.92,0.38,0.33,0.34,0.22,0.31,0.41,0.32,0.21,0.28,0.22,0.24,0.31,0.17,0.27
c_1,0.37,0.41,0.91,0.36,0.62,0.24,0.3,0.31,0.25,0.26,0.23,0.29,0.19,0.33,0.21,0.27
d_1,0.41,0.45,0.28,0.92,0.34,0.23,0.4,0.25,0.62,0.3,0.41,0.27,0.26,0.36,0.25,0.26
b_1,0.39,0.41,0.43,0.37,0.91,0.4,0.36,0.35,0.31,0.25,0.22,0.26,0.19,0.32,0.21,0.28
a_1,0.45,0.41,0.44,0.43,0.34,0.89,0.39,0.36,0.33,0.29,0.27,0.31,0.24,0.32,0.24,0.34
h_1,0.43,0.57,0.41,0.44,0.38,0.26,0.65,0.33,0.34,0.33,0.34,0.3,0.29,0.25,0.25,0.35
d_0,0.42,0.45,0.71,0.32,0.43,0.2,0.31,0.57,0.27,0.3,0.24,0.3,0.26,0.35,0.22,0.25
c_0,0.45,0.48,0.34,0.47,0.31,0.25,0.43,0.41,0.57,0.32,0.6,0.39,0.35,0.37,0.22,0.31
g_1,0.39,0.37,0.4,0.62,0.4,0.25,0.36,0.29,0.38,0.62,0.34,0.46,0.28,0.35,0.28,0.23
b_0,0.42,0.43,0.41,0.48,0.35,0.27,0.42,0.37,0.42,0.34,0.56,0.34,0.48,0.37,0.25,0.32
f_0,0.38,0.41,0.41,0.43,0.42,0.27,0.41,0.41,0.38,0.33,0.4,0.54,0.31,0.45,0.47,0.32
a_0,0.45,0.48,0.42,0.44,0.36,0.19,0.43,0.4,0.41,0.3,0.35,0.3,0.5,0.39,0.25,0.31
h_0,0.44,0.57,0.41,0.41,0.38,0.26,0.25,0.37,0.39,0.37,0.36,0.31,0.23,0.3,0.25,0.41
e_0,0.39,0.52,0.37,0.5,0.36,0.22,0.45,0.39,0.41,0.32,0.34,0.32,0.31,0.37,0.43,0.37
g_0,0.43,0.43,0.41,0.6,0.37,0.22,0.38,0.32,0.43,0.24,0.32,0.44,0.24,0.33,0.25,0.28
