,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.09,1.45,2.54,2.61,2.33,1.94,0.68,0.67,0.52,0.51,0.59,0.51,0.46,0.33,0.54,0.36
f_1,2.29,1.09,2.49,2.63,2.3,2.21,0.52,0.68,0.47,0.48,0.64,0.46,0.45,0.26,0.42,0.38
d_1,2.69,2.71,1.08,2.34,2.48,2.17,0.69,0.49,0.46,0.68,0.45,0.5,0.48,0.32,0.52,0.22
c_1,2.31,2.88,3.69,1.1,2.69,2.69,0.79,0.78,0.71,0.35,0.55,0.56,0.56,0.45,0.57,0.42
b_1,3.15,3.52,3.3,1.74,1.11,3.15,0.91,0.85,0.84,0.6,0.7,0.89,0.78,0.49,0.58,0.5
a_1,4.52,4.65,4.1,4.08,2.37,1.12,1.24,1.39,0.93,1.22,0.96,1.25,1.29,0.65,1.07,0.7
h_1,8.75,8.88,8.39,8.5,8.8,7.76,1.53,2.75,1.77,1.95,2.03,1.74,1.78,1.74,1.63,1.31
g_1,9.71,12.55,10.09,10.63,9.95,8.69,2.25,1.58,2.16,2.24,2.28,2.11,2.1,1.29,2.15,1.78
c_0,12.39,13.37,7.58,18.86,13.25,10.5,3.54,3.39,1.79,3.54,2.51,2.71,2.71,1.84,2.49,1.62
d_0,8.61,11.3,17.36,13.63,13.0,11.69,3.93,4.11,2.97,1.9,2.56,2.64,2.71,2.08,2.73,2.01
f_0,14.04,20.2,12.72,14.77,12.64,11.9,4.25,2.86,3.0,3.16,1.78,2.87,2.86,2.03,2.46,1.35
b_0,14.2,14.89,10.95,19.35,19.13,13.01,3.54,4.4,1.74,3.16,2.73,1.84,2.56,2.37,2.45,1.85
a_0,17.25,17.66,17.99,18.07,26.24,20.46,5.71,5.49,3.08,3.64,3.55,2.01,1.91,2.89,2.53,2.21
h_0,18.8,19.86,20.07,18.98,17.01,14.44,6.53,4.95,3.61,3.54,4.11,3.79,3.88,3.19,3.61,2.95
e_0,24.06,25.85,18.27,20.83,20.26,17.54,5.79,5.7,3.87,3.99,2.29,3.93,4.27,3.24,2.12,2.53
g_0,24.06,25.11,20.42,25.85,22.77,20.04,5.53,7.16,4.15,4.76,4.72,4.08,4.5,2.6,4.08,3.69
