,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.22,0.94,0.9,0.86,0.77,0.61,0.68,0.7,0.58,0.63,0.61,0.53,0.5,0.58,0.59
e_1,0.81,1.0,1.19,0.93,0.95,0.86,0.69,0.72,0.89,0.62,0.72,0.61,0.61,0.62,0.65,0.6
c_1,1.06,0.83,1.0,1.12,1.31,0.7,0.72,0.67,0.48,0.54,0.59,0.52,0.63,0.58,0.55,0.6
d_1,1.09,1.08,0.91,1.0,0.95,0.81,0.73,0.53,0.74,0.86,0.65,0.62,0.61,0.57,0.52,0.53
b_1,1.11,1.08,0.78,1.04,1.0,1.42,0.82,0.7,0.61,0.77,0.66,0.69,0.63,0.6,0.55,0.56
a_1,1.3,1.16,1.4,1.25,0.73,1.0,0.89,0.91,0.82,0.71,0.78,0.92,0.78,0.72,0.65,0.65
h_1,1.62,1.45,1.34,1.37,1.19,1.14,1.0,1.17,0.88,0.92,0.92,0.92,0.84,0.79,0.74,0.93
g_1,1.52,1.45,1.48,1.86,1.42,1.11,0.85,1.0,0.82,1.01,1.19,0.92,0.73,0.83,0.84,0.81
d_0,1.41,1.16,2.14,1.3,1.6,1.19,1.11,1.17,1.0,0.81,1.01,0.93,0.96,0.86,0.86,0.86
c_0,1.74,1.55,1.88,1.17,1.29,1.4,1.05,1.01,1.16,1.0,0.97,1.35,0.99,0.99,1.0,0.89
f_0,1.58,1.38,1.72,1.57,1.55,1.17,1.11,0.82,1.0,1.01,1.0,1.06,1.0,1.15,0.89,0.72
b_0,1.62,1.61,1.99,1.53,1.39,1.16,1.11,1.14,1.04,0.76,0.91,1.0,1.1,0.83,1.33,0.83
h_0,1.89,1.61,1.63,1.65,1.6,1.27,1.22,1.36,1.07,0.98,1.02,0.93,1.0,0.95,0.94,1.01
e_0,2.08,1.78,1.61,1.85,1.68,1.4,1.21,1.13,1.14,1.06,0.87,1.28,1.12,1.0,1.04,0.83
a_0,1.81,1.53,1.77,1.96,1.71,1.41,1.37,1.2,1.15,1.04,1.08,0.78,1.07,0.98,1.0,0.94
g_0,1.68,1.65,1.71,1.89,1.66,1.59,1.08,1.2,1.17,1.16,1.36,1.25,0.98,1.1,1.09,1.0
