,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,3.72,0.74,0.34,0.35,0.34,0.45,0.68,0.7,0.64,0.7,0.95,0.17,1.0,0.81,0.88,0.56
e_1,0.45,3.94,0.3,0.43,0.35,0.25,0.76,0.89,0.69,1.49,0.81,0.91,1.03,0.85,0.9,0.3
d_1,0.4,0.35,4.06,0.39,0.46,0.3,0.86,1.45,0.67,0.15,0.73,0.79,0.79,0.77,0.89,1.03
c_1,0.42,0.31,0.45,4.17,0.75,0.42,0.8,0.18,0.61,0.8,0.64,0.77,0.91,0.59,1.0,0.82
b_1,0.37,0.34,0.47,0.47,5.04,0.74,0.76,0.78,0.66,0.76,0.2,0.75,0.8,0.84,0.67,0.69
a_1,0.3,0.41,0.4,0.45,0.35,7.56,0.81,0.86,0.92,0.9,0.81,0.84,0.91,0.2,0.66,0.79
h_1,0.89,0.65,0.8,0.58,0.61,0.78,4.82,1.25,1.7,1.24,1.63,1.41,0.57,1.24,2.13,1.39
c_0,0.85,0.66,0.67,0.35,0.58,0.59,1.41,3.8,1.78,1.64,3.1,1.85,1.65,1.64,1.42,1.76
g_1,0.66,0.65,1.03,0.68,0.63,0.57,0.97,1.16,6.51,0.96,1.34,2.11,1.17,1.2,0.46,1.4
d_0,0.77,0.64,0.19,1.26,0.62,0.49,1.54,1.1,1.45,3.91,1.72,1.48,1.33,1.69,2.0,1.83
b_0,0.93,0.75,0.65,0.79,0.18,0.62,1.03,1.46,1.62,1.45,4.88,1.96,1.61,3.65,1.73,1.67
f_0,0.26,0.54,0.77,0.87,0.77,0.76,1.43,1.54,1.44,1.61,1.49,4.97,1.55,1.9,1.58,3.66
h_0,1.15,0.64,0.7,0.72,0.46,0.62,0.33,1.36,1.88,1.39,1.38,1.35,0.64,1.47,1.68,1.16
a_0,0.72,0.57,1.08,0.74,0.57,0.29,1.29,1.34,1.13,1.64,1.27,1.79,1.94,5.85,1.4,1.8
g_0,0.55,0.64,1.1,0.66,0.69,0.55,1.25,1.34,0.69,1.4,1.32,2.5,1.45,1.27,0.67,1.44
e_0,0.8,0.24,0.86,0.8,0.86,0.78,1.16,1.93,1.08,1.62,1.32,1.92,1.64,0.97,1.45,6.65
