,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,6.09,2.92,1.24,1.33,1.46,1.25,5.6,7.02,6.73,5.6,7.63,3.35,6.74,8.78,4.42,8.61
e_1,1.63,6.14,1.29,1.78,1.41,1.44,5.75,6.68,13.38,5.76,7.69,7.75,7.85,11.91,3.7,10.31
d_1,1.8,1.29,6.83,1.13,1.5,1.31,5.73,14.02,2.72,5.24,8.97,8.13,10.3,12.06,8.66,13.15
c_1,1.36,1.37,1.4,6.94,3.04,1.27,4.97,3.1,6.75,4.96,4.9,8.56,6.8,8.29,7.63,7.68
b_1,1.55,1.39,1.66,1.48,7.34,3.02,4.36,5.86,6.89,5.36,3.13,6.22,5.09,11.49,7.88,12.18
a_1,1.84,1.13,1.77,1.68,1.34,9.98,6.25,6.91,6.95,5.78,7.28,6.8,3.58,13.12,8.88,12.1
h_1,2.63,1.85,1.88,1.87,1.55,1.48,16.26,8.29,8.69,8.03,9.66,8.66,9.92,8.47,9.01,17.7
c_0,1.94,1.85,2.44,1.32,1.37,1.79,7.26,15.65,7.28,7.43,16.54,8.29,12.44,13.7,9.39,14.95
d_0,1.8,1.81,1.16,3.79,1.8,1.66,6.67,5.75,15.54,6.43,7.71,8.91,8.71,13.01,8.73,12.65
g_1,1.49,1.38,2.98,2.01,1.68,1.69,7.05,8.11,7.32,19.82,8.67,14.47,9.42,13.98,9.61,9.78
b_0,1.97,1.99,2.11,1.97,0.93,1.65,7.57,9.27,8.55,7.62,17.05,9.86,18.75,13.92,9.3,14.39
f_0,1.32,1.45,2.0,2.22,2.03,1.94,8.21,7.87,7.81,6.65,7.1,19.82,8.63,14.29,22.32,15.99
a_0,2.3,1.97,2.48,1.85,1.59,1.25,7.88,8.89,9.42,6.55,8.78,7.24,21.86,16.03,9.26,13.43
h_0,2.31,1.88,2.1,1.87,1.53,2.08,3.53,8.55,9.01,8.49,9.8,8.32,8.57,8.61,10.88,16.93
e_0,2.17,0.95,1.66,2.2,2.16,2.06,7.9,9.74,8.37,7.99,10.74,8.48,9.69,17.57,26.04,17.16
g_0,1.59,1.7,3.27,1.92,1.44,1.89,6.61,8.97,7.35,4.22,8.79,13.43,8.46,11.58,11.01,9.2
